ссылаться_VERB	refer_NOUN
поиск_NOUN	search_NOUN
авалос_NOUN	avalo_NOUN
якоро_ADV	anchor_NOUN
нынешний_ADJ	currend_ADJ
ловь_NOUN	catch_VERB
хайдук_NOUN	hajduk_VERB
сакс_NOUN	saxon_NOUN
ридерх_NOUN	rhydderch_VERB
мендо_NOUN	mndez_PROPN
домашний_ADJ	homemake_NOUN
поздно_ADV	late_ADV
бейтс_NOUN	bate_NOUN
бат_NOUN	baht_NOUN
прелюдия_NOUN	prelude_ADV
надежно_ADV	securely_ADV
слушать_VERB	listen_NOUN
стыдно_ADV	ashame_VERB
политика_NOUN	policies_NOUN
готовность_NOUN	readiness_NOUN
принудительный_ADJ	forcible_ADJ
каэтать_VERB	caetano_NOUN
мак_NOUN	mack_VERB
валерия_NOUN	valery_ADV
андроид_NOUN	android_NOUN
хаттаб_NOUN	khattab_NOUN
премьер_NOUN	premiere_NOUN
беспрепятственно_ADV	unobstruct_VERB
ленский_ADJ	lensky_ADV
турбулентность_NOUN	turbulence_NOUN
томашув_VERB	tomaszw_ADV
витт_NOUN	witte_VERB
элегантный_ADJ	elegant_ADJ
мало_NOUN	mal_ADJ
лакруа_NOUN	lacroix_NOUN
алькал_NOUN	alcal_ADJ
туризм_NOUN	tourism_NOUN
форбс_NOUN	forbe_NOUN
мадмуазель_NOUN	mademoiselle_NOUN
вознесенский_ADJ	voznesensky_ADV
павич_NOUN	pavi_NOUN
пустыня_NOUN	desert_VERB
определить_VERB	determine_NOUN
задача_NOUN	challenge_NOUN
наблюдатель_NOUN	observer_NOUN
переоценка_NOUN	reassessment_NOUN
нарушать_VERB	violate_VERB
пресечение_NOUN	suppress_NOUN
стефанович_NOUN	stefanovic_ADJ
гипертрофия_NOUN	hypertrophy_ADV
кинематографический_ADJ	cinematic_ADJ
хенрик_NOUN	henrik_VERB
бернть_VERB	burnley_NOUN
маккартень_NOUN	mccartney_NOUN
вывески_ADV	signage_NOUN
этажность_NOUN	storey_NOUN
неточность_NOUN	inaccuracy_NOUN
свободный_ADJ	free_ADJ
интеллект_NOUN	intelligence_NOUN
мультиплекс_NOUN	multiplex_ADJ
имитировать_VERB	imitate_NOUN
римас_NOUN	rima_NOUN
фланг_NOUN	flank_VERB
интуиция_NOUN	intuition_NOUN
взлом_NOUN	hack_VERB
приседание_NOUN	squat_NOUN
тревога_NOUN	anxiety_NOUN
семидесятой_ADJ	seventy_NOUN
кошица_NOUN	koice_NOUN
отдых_NOUN	recreation_NOUN
команда_NOUN	team_NOUN
самолёт_NOUN	planes_NOUN
озвучка_NOUN	dubb_VERB
мерл_NOUN	merle_NOUN
милостыня_NOUN	alm_NOUN
лазарев_NOUN	lazarefifth_ADJ
настойчивость_NOUN	persistence_NOUN
доминика_NOUN	dominic_ADJ
абхазский_NOUN	abkhaz_PROPN
велесо_NOUN	vlez_PROPN
маска_NOUN	mask_VERB
коммунальный_ADJ	utility_NOUN
фаустино_NOUN	faustino_ADV
калеб_NOUN	kaleb_NOUN
выбрать_VERB	choose_VERB
дирихл_NOUN	dirichlet_VERB
собор_NOUN	cathedral_NOUN
конфессия_NOUN	faith_NOUN
глинский_ADJ	glinski_NOUN
несущественне_ADJ	inconsequential_ADJ
релиз_NOUN	release_NOUN
пытка_NOUN	torture_NOUN
субрегион_NOUN	subregion_NOUN
уровень_NOUN	level_NOUN
приземлиться_VERB	land_VERB
крестный_ADJ	godparent_NOUN
скинхед_NOUN	skinhead_NOUN
необязательно_ADV	option_ADJ
отчаянно_ADV	desperately_ADV
хорть_NOUN	horthy_ADV
испарение_NOUN	evaporation_NOUN
прислушаться_VERB	hee_ADV
асимптотически_ADV	asymptotically_ADV
презерватив_NOUN	condom_NOUN
каллиграфия_NOUN	calligraphy_NOUN
солидарность_NOUN	solidarity_NOUN
конфигурация_NOUN	configuration_NOUN
коврик_NOUN	mat_NOUN
стокголм_NOUN	stockholm_NOUN
чакра_NOUN	chakra_NOUN
предпочитать_VERB	preferr_VERB
ликвидация_NOUN	elimination_NOUN
масло_NOUN	butter_NOUN
изучение_NOUN	study_VERB
ннк_NOUN	noc_NOUN
премьерство_NOUN	premiership_VERB
угмк_NOUN	ummc_ADJ
надругательство_NOUN	abuse_VERB
импровизировывать_VERB	improvise_VERB
вниз_ADV	down_ADV
спинкс_NOUN	spink_NOUN
определить_VERB	determine_VERB
филипп_NOUN	philip_VERB
интенсивно_ADV	intense_ADJ
фибоначча_NOUN	fibonacci_NOUN
палеолог_NOUN	palaiologin_NOUN
марлис_NOUN	marly_NOUN
интерметаллид_NOUN	intermetallic_ADJ
вестфален_ADJ	westphalen_ADV
преподавание_NOUN	teach_VERB
пикап_NOUN	pickup_VERB
союзник_NOUN	ally_NOUN
рейтинг_NOUN	rate_VERB
чжо_ADV	kyaw_VERB
штепанек_NOUN	tpnek_VERB
лепаж_NOUN	lepage_NOUN
обнаружение_NOUN	detect_VERB
ландшафт_NOUN	landscap_VERB
пергамент_NOUN	parchment_NOUN
математика_NOUN	math_NOUN
азим_NOUN	asimofifth_ADJ
скп_NOUN	upc_ADJ
спираль_NOUN	spiral_ADJ
мы_NOUN	ma_NOUN
уход_NOUN	care_VERB
флот_NOUN	fleet_NOUN
насильстветь_ADJ	violend_ADJ
троллинг_NOUN	troll_VERB
скорый_ADJ	speedy_NOUN
хво_NOUN	hwee_ADV
киркпатрик_NOUN	kirkpatrick_VERB
ларрь_NOUN	larry_ADV
сэть_NOUN	s_ADJ
бессель_NOUN	bessel_ADV
жрица_NOUN	priestess_NOUN
винить_VERB	vinyl_ADV
заинтересованный_ADJ	interest_ADJ
возобновление_NOUN	reactivation_NOUN
выставить_VERB	exhibit_VERB
картрать_NOUN	carteret_VERB
первичный_ADJ	primary_NOUN
джать_NOUN	janet_VERB
освободить_VERB	freed_VERB
буржуа_NOUN	bourgeois_ADJ
дой_NOUN	doi_NOUN
ускорение_NOUN	accelerate_VERB
линкольншир_NOUN	lincolnshire_NOUN
хранилище_NOUN	repository_NOUN
калория_NOUN	calorie_NOUN
подавать_VERB	serve_VERB
дойть_VERB	doyle_NOUN
персик_NOUN	peachy_NOUN
шляпа_NOUN	hat_NOUN
сторона_NOUN	party_NOUN
телефон_NOUN	phone_NOUN
слоган_NOUN	catchphrase_VERB
иванович_NOUN	ivanovic_ADJ
олегович_NOUN	olegovich_VERB
несправедливо_ADJ	unfairly_ADV
галоп_NOUN	gallop_VERB
лучший_ADJ	good_ADV
бок_ADV	sideway_NOUN
ожидание_NOUN	anticipation_NOUN
магелланово_NOUN	magellanic_ADJ
бедрос_NOUN	bedro_NOUN
патогеть_ADJ	pathogenic_ADJ
немцова_NOUN	nemtsofifth_ADJ
космический_ADJ	cosmic_ADJ
хаккинен_ADJ	hakkinen_ADV
биомасса_NOUN	biomass_NOUN
дом_NOUN	house_NOUN
айвз_NOUN	ive_NOUN
симмондс_NOUN	simmond_NOUN
патреза_NOUN	patris_VERB
фантастика_NOUN	fantastic_ADJ
отделение_NOUN	branch_NOUN
коротко_ADV	shorter_ADJ
картинка_NOUN	picture_NOUN
младенович_NOUN	mladenovi_NOUN
рекомбинация_NOUN	recombination_NOUN
путь_NOUN	way_NOUN
легкость_NOUN	lightness_NOUN
карасй_NOUN	karasefifth_ADJ
заксенхаузить_VERB	sachsenhausen_NOUN
такэси_NOUN	takeshi_NOUN
машенька_NOUN	goldilock_NOUN
встретиться_VERB	meet_NOUN
исторически_ADJ	historic_ADJ
меняться_VERB	swap_VERB
маркин_NOUN	markin_NOUN
водоворот_NOUN	whirlpool_VERB
луис_NOUN	luiz_PROPN
формальность_NOUN	technicality_NOUN
голуб_NOUN	golub_NOUN
нэнсь_NOUN	nancy_NOUN
пеня_NOUN	stump_VERB
сообщник_NOUN	associate_NOUN
рыбак_NOUN	fisherman_NOUN
циклоп_NOUN	cyclop_NOUN
цивилизованный_ADJ	civilize_VERB
муря_NOUN	muri_NOUN
знакомо_ADJ	familiar_ADJ
возняк_NOUN	wozniak_VERB
илий_NOUN	iliefifth_ADJ
булгар_NOUN	bulgar_NOUN
пострадавший_NOUN	victim_NOUN
шонесси_NOUN	shaughnessy_NOUN
благополучие_NOUN	welfare_ADV
заинтересованность_NOUN	interest_NOUN
начинать_VERB	start_VERB
депутат_NOUN	mp_VERB
мотивировать_VERB	emotivat_ADJ
зоологический_ADJ	zoological_ADJ
технологически_ADV	technologically_ADV
столб_NOUN	pole_NOUN
чистка_NOUN	cleanse_VERB
набоер_NOUN	kit_NOUN
юаня_NOUN	renminbi_NOUN
жемчуга_NOUN	pearl_NOUN
агроном_NOUN	agronomist_NOUN
банк_NOUN	bank_NOUN
современный_ADJ	contemporary_ADJ
полушарие_NOUN	hemispheric_ADJ
папарацци_NOUN	paparazzi_NOUN
возможный_ADJ	perhaps_ADV
диагностировать_VERB	diagnose_VERB
мероприятие_NOUN	events_NOUN
калахарь_NOUN	kalahari_NOUN
норичниковый_ADJ	scrophulariaceae_NOUN
висок_NOUN	whisky_ADV
продолжительность_NOUN	length_NOUN
право_NOUN	law_NOUN
яндекс_NOUN	yandex_NOUN
детство_NOUN	childhood_NOUN
анда_NOUN	ande_NOUN
патанджать_VERB	patanjali_NOUN
пламя_NOUN	flame_NOUN
показать_VERB	display_VERB
лиллианин_NOUN	lillian_NOUN
хантер_NOUN	hunter_ADV
гиперион_NOUN	hyperion_NOUN
ангел_NOUN	angel_ADV
дрова_NOUN	firewood_ADV
автомобилист_NOUN	motorist_NOUN
пруст_NOUN	proust_VERB
даугавпилс_NOUN	daugavpil_NOUN
утверждать_VERB	assert_VERB
сессия_NOUN	session_NOUN
главный_ADJ	main_ADJ
новорожденный_ADJ	newborn_NOUN
внутренность_NOUN	inside_NOUN
недостаточный_ADJ	einadequat_ADJ
наконец_ADV	finally_ADV
прошлое_NOUN	past_ADJ
каролинг_NOUN	carolingian_NOUN
сауль_VERB	sauli_NOUN
глубокий_ADJ	deep_VERB
периметр_NOUN	perimeter_NOUN
голдинг_NOUN	gold_VERB
николай_NOUN	nichola_NOUN
паралимпийский_ADJ	paralympic_ADJ
функционер_NOUN	functionary_ADV
куда_ADV	where_ADV
анхель_NOUN	ngel_ADV
критически_ADV	critically_ADV
демагогия_NOUN	demagoguery_NOUN
ковель_NOUN	kovel_NOUN
фалесо_NOUN	thale_NOUN
коморский_ADJ	comorian_ADJ
португалие_NOUN	portugal_ADJ
безработный_NOUN	jobless_NOUN
араби_NOUN	arabi_NOUN
упрямство_NOUN	stubbornness_NOUN
геодезия_NOUN	geodesy_ADV
крагуевац_NOUN	kragujevac_ADJ
свифт_NOUN	swiave_ADJ
негодяй_NOUN	rogue_NOUN
секунда_NOUN	second_NOUN
германие_NOUN	german_NOUN
остаться_VERB	remain_VERB
землевладелец_NOUN	landowner_NOUN
зад_NOUN	ass_NOUN
ольшанский_ADJ	olshansky_ADV
турок_NOUN	turk_NOUN
смирение_NOUN	humility_NOUN
вакцина_NOUN	vaccine_NOUN
педаль_NOUN	pedal_ADJ
гоминид_NOUN	hominidae_ADV
прокофьй_NOUN	prokofiefifth_ADJ
том_ADJ	tommy_ADV
гигант_NOUN	giant_NOUN
коэффициент_NOUN	quotient_ADJ
подвязка_NOUN	garter_NOUN
винсент_NOUN	vincent_ADJ
отпечаток_NOUN	imprint_ADJ
пьедраса_NOUN	piedra_NOUN
грек_NOUN	greek_VERB
кпч_NOUN	hrc_ADJ
витал_NOUN	vitale_NOUN
сопровождать_VERB	accompany_VERB
луб_NOUN	loubet_VERB
торричелть_NOUN	torricelli_NOUN
сёдертелье_NOUN	sodertalje_ADV
немец_NOUN	german_NOUN
марля_VERB	marley_NOUN
клещь_NOUN	mite_NOUN
болельщик_NOUN	jersey_NOUN
уничтожить_ADJ	destroy_VERB
крест_NOUN	cross_NOUN
расквартирование_NOUN	cantonment_NOUN
битва_NOUN	battle_NOUN
блеск_NOUN	glitter_NOUN
боск_NOUN	bosc_ADJ
бензин_NOUN	gas_NOUN
узнать_VERB	learn_ADJ
эукариот_NOUN	eukaryote_NOUN
педофил_NOUN	pedophile_NOUN
номер_NOUN	number_NOUN
франкорша_NOUN	francorchamp_NOUN
преднамеренно_ADV	intention_ADJ
экспериментальный_ADJ	experimental_ADJ
комфорт_NOUN	comfort_VERB
литография_NOUN	lithograph_NOUN
поднять_VERB	raise_VERB
куагмир_NOUN	quagmire_ADV
купать_VERB	bath_VERB
совет_NOUN	council_NOUN
жюльен_ADJ	julien_ADV
ленинск_NOUN	leninsk_VERB
уоллесо_NOUN	wallace_NOUN
эксперт_NOUN	expert_VERB
гектар_NOUN	hectare_ADV
фургон_NOUN	rfifth_ADJ
эпистемология_NOUN	epistemology_NOUN
достижение_NOUN	achievement_NOUN
опасение_NOUN	misgiving_NOUN
уругваец_NOUN	uruguayan_NOUN
злодей_NOUN	miscreant_NOUN
опрос_NOUN	survey_NOUN
дополнять_VERB	complement_NOUN
подчеркивать_VERB	emphasiz_VERB
аэропорт_NOUN	airport_NOUN
кривая_NOUN	curvy_NOUN
болезнь_NOUN	illness_NOUN
рост_NOUN	height_ADV
вести_VERB	guide_NOUN
отклонить_VERB	deny_VERB
халонен_ADJ	halonen_ADV
крь_NOUN	cri_NOUN
планета_NOUN	planet_NOUN
егерь_NOUN	jaeger_NOUN
метро_NOUN	subway_ADV
доска_NOUN	boards_NOUN
квинсь_NOUN	quincy_ADV
жаловаться_VERB	complain_VERB
кременчуга_NOUN	kremenchuk_VERB
кппа_NOUN	cat_NOUN
германий_NOUN	germany_ADV
имитировать_VERB	mimic_NOUN
уэлд_NOUN	wold_NOUN
отказаться_VERB	refuse_VERB
дзинг_NOUN	j_VERB
занятость_NOUN	employment_NOUN
стриптиз_NOUN	stripp_VERB
сложность_NOUN	complexity_NOUN
неорганический_ADJ	inorganic_ADJ
незначительный_ADJ	minor_ADJ
блокирование_NOUN	block_VERB
петля_NOUN	loop_VERB
держателя_NOUN	holder_NOUN
скорость_NOUN	velocity_NOUN
пятый_ADJ	fifth_NOUN
потасовка_NOUN	scuffle_NOUN
бред_NOUN	delusional_ADJ
богданович_NOUN	bogdanovich_VERB
удушение_NOUN	suffocation_NOUN
признавать_VERB	acknowledge_NOUN
созревание_NOUN	ripen_VERB
искать_VERB	search_NOUN
штаны_NOUN	pant_NOUN
взломать_VERB	hack_NOUN
делать_VERB	do_VERB
раскать_VERB	calculation_NOUN
сауна_ADJ	sauna_NOUN
яред_NOUN	yar_VERB
раквера_NOUN	rakvere_ADV
орл_NOUN	eagle_NOUN
скучно_ADV	bore_VERB
сомнение_NOUN	doubt_NOUN
юриспруденция_NOUN	jurisprudence_NOUN
гаркавь_NOUN	harkavy_ADV
стимулирование_NOUN	stimulation_NOUN
маттиас_NOUN	mattia_NOUN
гордь_NOUN	gordy_NOUN
мысль_NOUN	think_VERB
кыргызский_NOUN	kyrgyz_PROPN
советник_NOUN	counsel_NOUN
мандич_NOUN	mandi_NOUN
левый_ADJ	leave_ADJ
гипотетически_ADV	hypothetically_ADV
нарушение_NOUN	breach_VERB
судья_NOUN	justice_NOUN
ведьма_ADV	witch_VERB
сафрон_NOUN	safronofifth_ADJ
изображать_VERB	portray_VERB
колониализм_NOUN	colonialism_NOUN
рааб_NOUN	raab_NOUN
черноморец_NOUN	chernomoret_NOUN
франс_NOUN	france_NOUN
гончай_VERB	hound_NOUN
кристобаль_NOUN	cristbal_ADJ
сосредоточиться_VERB	concentrate_NOUN
розыгрыш_NOUN	prank_NOUN
напарник_NOUN	partner_NOUN
торренс_NOUN	torrence_NOUN
пауэлл_NOUN	powell_ADV
люк_NOUN	luc_ADJ
свободно_ADV	free_ADJ
удобство_NOUN	amenity_NOUN
насильстветь_ADJ	forceful_ADJ
литвака_NOUN	litvak_VERB
кроча_ADJ	croce_NOUN
металлический_ADJ	metal_ADJ
лор_NOUN	end_ADJ
признать_VERB	recognize_VERB
местный_ADJ	local_NOUN
поле_NOUN	fiold_NOUN
скромно_ADV	humble_ADJ
исчерпать_VERB	exhaust_VERB
опустошить_VERB	empty_VERB
одержим_NOUN	obsess_VERB
стоуень_NOUN	stoney_NOUN
махал_VERB	mahal_ADJ
грийе_NOUN	grillet_VERB
карниз_NOUN	eave_NOUN
нерешительность_NOUN	indecision_NOUN
уничтожение_NOUN	annihilation_NOUN
платье_NOUN	dress_NOUN
фетис_NOUN	fetisofifth_ADJ
колье_NOUN	necklace_NOUN
часовня_NOUN	chapel_NOUN
материнский_ADJ	maternal_ADJ
глубокий_ADJ	profound_VERB
гаврил_NOUN	gavrilofifth_ADJ
лансарот_NOUN	lanzarite_VERB
мигрант_NOUN	migrant_NOUN
гинекология_NOUN	gynaecology_NOUN
афанасие_NOUN	afanasy_ADV
материально_ADV	logistic_NOUN
фреска_NOUN	mural_ADJ
микка_NOUN	micky_ADV
исторический_ADJ	historic_ADJ
чичен_ADJ	chichen_NOUN
оттенок_NOUN	shade_NOUN
крамера_NOUN	cramer_NOUN
середина_NOUN	midpoint_ADJ
запретить_VERB	forbide_ADV
парабеллум_NOUN	parabellum_NOUN
захоронение_NOUN	burial_ADJ
монд_NOUN	mond_NOUN
доза_NOUN	dose_VERB
стенбка_NOUN	stenbock_VERB
краситель_NOUN	dyes_NOUN
проверка_NOUN	check_VERB
украшать_VERB	decorat_VERB
сметь_VERB	dare_NOUN
лафайетт_NOUN	lafayette_VERB
замечание_NOUN	remark_NOUN
архитектор_NOUN	architect_NOUN
украть_VERB	stole_NOUN
трещина_NOUN	crack_NOUN
дворец_NOUN	palace_NOUN
мучительно_ADV	excruciat_VERB
черепаха_NOUN	tortoise_ADV
номенклатура_NOUN	nomenclature_NOUN
пай_NOUN	pai_NOUN
опт_NOUN	wholesale_NOUN
падчерица_NOUN	stepdaughter_NOUN
амать_VERB	amano_ADV
умение_NOUN	skill_NOUN
стойкость_NOUN	resilience_NOUN
принять_VERB	accept_VERB
лин_NOUN	l_VERB
запутаться_VERB	confus_ADJ
солнышко_ADV	sweetheart_VERB
н_NOUN	nome_ADV
таблица_NOUN	table_ADJ
эскимос_NOUN	eskimo_NOUN
мастерство_NOUN	mastery_NOUN
совещание_NOUN	meetings_NOUN
марцинкевич_NOUN	marcinkiewicz_PROPN
рейх_NOUN	reich_VERB
беременна_ADJ	pregnan_ADJ
небо_NOUN	sky_ADV
лужицкий_ADJ	lusatian_ADJ
надежный_NOUN	dependable_ADJ
бифуркация_NOUN	bifurcation_NOUN
монтессори_NOUN	montessori_NOUN
следствие_NOUN	consequence_NOUN
море_NOUN	sea_NOUN
преобладание_NOUN	predominance_NOUN
мохсня_ADJ	mohsen_NOUN
могол_NOUN	mogol_VERB
крауча_NOUN	crouch_VERB
воспроизводить_VERB	reproduc_VERB
воссоединиться_VERB	reconnect_VERB
перемирия_NOUN	armistice_NOUN
лг_NOUN	ly_VERB
машина_NOUN	machine_NOUN
овать_VERB	oval_ADJ
помеха_NOUN	hindrance_NOUN
курсив_VERB	italic_ADJ
хэнкс_NOUN	hank_NOUN
киназ_NOUN	kinase_VERB
предшествовать_VERB	predate_NOUN
экологический_ADJ	environmental_ADJ
головастика_NOUN	tadpole_NOUN
ростовщик_NOUN	moneylender_NOUN
рация_NOUN	radio_NOUN
хиллз_NOUN	hill_NOUN
овернский_ADJ	auvergnat_ADV
флорин_NOUN	florin_NOUN
галька_NOUN	pebble_NOUN
насыщеть_ADJ	saturate_VERB
устав_NOUN	statute_VERB
карть_NOUN	carty_NOUN
яркость_NOUN	brightness_NOUN
куль_NOUN	kul_ADJ
прервать_VERB	terminate_NOUN
звон_NOUN	ringe_VERB
всадник_NOUN	horseman_ADV
отклонение_NOUN	deviation_NOUN
коронель_NOUN	coronel_NOUN
сепаратистский_ADJ	separatist_VERB
предмет_NOUN	item_NOUN
резинка_NOUN	rubber_NOUN
преференция_NOUN	preference_NOUN
маркиз_NOUN	marquise_VERB
гепид_NOUN	gepid_NOUN
стаж_NOUN	seniority_NOUN
топливо_NOUN	fuel_NOUN
крисси_NOUN	chrissie_NOUN
допустить_ADJ	admissible_ADJ
костер_NOUN	bonfire_NOUN
промывание_NOUN	lavage_NOUN
катар_NOUN	cathar_NOUN
состав_NOUN	formulation_NOUN
ахмед_NOUN	ahm_VERB
мантра_NOUN	mantra_NOUN
умереть_ADJ	temperate_VERB
президиум_NOUN	presidency_NOUN
семантически_ADV	semantically_ADV
человек_NOUN	person_NOUN
планшет_NOUN	tablet_VERB
продольный_ADJ	longitudinal_ADJ
реорганизовать_VERB	reorganize_VERB
набрать_VERB	score_VERB
опоздать_VERB	late_ADV
поза_NOUN	pose_NOUN
электромагнитный_ADJ	electromagnetic_ADJ
мрт_NOUN	mrl_ADV
манда_NOUN	mande_NOUN
пересмотреть_VERB	review_NOUN
каппля_NOUN	kappel_NOUN
пожиратель_NOUN	eater_ADV
геологический_ADJ	geologic_ADJ
карлсня_NOUN	carlsen_NOUN
исключить_VERB	delet_VERB
тирион_NOUN	tyrion_NOUN
усть_NOUN	ust_VERB
расход_NOUN	expense_NOUN
рубль_NOUN	ruble_ADJ
автоматика_NOUN	automatic_NOUN
скаут_NOUN	scout_NOUN
тоннель_NOUN	tunnel_NOUN
быдгоще_NOUN	bydgoszcz_PROPN
праздник_NOUN	feast_VERB
тесно_ADV	closely_ADV
оппозиция_NOUN	opposition_NOUN
индеец_NOUN	indian_NOUN
смотреть_VERB	view_VERB
запись_NOUN	record_NOUN
держать_VERB	apprehend_VERB
печатный_ADJ	printe_VERB
кейл_NOUN	cale_NOUN
воспоминание_NOUN	memory_NOUN
лагерь_NOUN	camp_NOUN
идеть_ADJ	eden_ADV
самодельный_ADJ	improvize_VERB
респект_NOUN	respect_VERB
монография_NOUN	monograph_NOUN
водоток_NOUN	watercourse_VERB
стоимость_NOUN	cost_NOUN
лагос_NOUN	lago_NOUN
включительно_ADV	inclusive_ADJ
написание_NOUN	write_VERB
воплощение_NOUN	embodiment_NOUN
чердак_NOUN	attic_ADJ
бка_NOUN	beck_VERB
этажный_ADJ	storey_NOUN
намек_NOUN	hint_NOUN
луидж_NOUN	luigi_NOUN
звучать_VERB	sound_NOUN
предварительно_ADV	tentatively_ADV
камаз_NOUN	kamaz_PROPN
нарост_NOUN	growth_NOUN
коить_NOUN	koichi_NOUN
чипсет_NOUN	chipset_VERB
элегия_NOUN	elegy_ADV
викторина_NOUN	quizze_NOUN
ярославич_NOUN	yaroslavich_VERB
мистика_NOUN	mystic_ADJ
радикально_ADV	radically_ADV
флот_NOUN	navy_ADV
ежевик_NOUN	bramble_ADJ
калька_NOUN	cripple_NOUN
митинг_NOUN	rally_NOUN
преодолевать_VERB	overcome_NOUN
найти_VERB	find_NOUN
джокович_NOUN	djokovic_ADJ
пирожное_NOUN	cake_NOUN
раскадровка_NOUN	storyboard_NOUN
миньяр_NOUN	mignard_ADV
видеть_VERB	see_VERB
добыча_NOUN	extraction_NOUN
иммигрировать_VERB	immigrate_VERB
мишл_NOUN	michelet_VERB
мойзес_NOUN	moise_NOUN
коммерчески_ADV	commercially_ADV
приблизительно_ADV	roughly_ADV
добавлять_VERB	add_NOUN
ужасный_ADJ	horrible_ADJ
харек_NOUN	kharkofifth_ADJ
разделить_VERB	divide_VERB
федеративный_ADJ	federative_ADJ
освободитель_NOUN	liberator_NOUN
изотопный_ADJ	isotopic_ADJ
подросток_NOUN	adolescent_ADJ
переформулировать_VERB	reformulate_VERB
лампа_NOUN	lumpy_ADV
сосиска_NOUN	banger_NOUN
сброс_NOUN	dump_VERB
производитель_NOUN	manufacturer_NOUN
влиять_VERB	affect_NOUN
толщина_NOUN	thick_ADV
ивановский_NOUN	ivanovsky_ADV
трос_NOUN	cable_ADJ
изолировать_VERB	isolate_ADV
пополнение_NOUN	replenishment_NOUN
