1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
3	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9864296317100525	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Извлечение_именованных_сущностей(0.7408585548400879)|TASK::Тематическое_моделирование(0.7147773504257202)|TASK::Анализ_тональности(0.7006984949111938)
4	dialogue_2001_4d688c18a8921a58cdcc5cf5e470cfac21662c43	ru	0.9855398535728455	О Семиотической Конгруэнтности в Речевой Коммуникации (К Постановке Проблемы)	http://www.dialog-21.ru/digest/2001/articles/zaretskaya/	TASK::Извлечение_именованных_сущностей(0.7128511071205139)
5	dialogue_2007_a063b56695ef07548600f85f7c02e8fc07aea472	ru	0.9841212034225464	Социокультурная Мотивированность Нарративов	http://www.dialog-21.ru/media/1827/06.pdf	TASK::Извлечение_именованных_сущностей(0.720537543296814)|TASK::Тематическое_моделирование(0.7018119692802429)
6	dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736	ru	0.9837456941604614	Категория Понимания, или Позиция Слушающего в Речевой Коммуникации	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/	TASK::Извлечение_именованных_сущностей(0.7133268713951111)
7	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9832141399383545	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Извлечение_именованных_сущностей(0.7101735472679138)|TASK::Тематическое_моделирование(0.7061974406242371)
8	dialogue_2001_1e8ea9cca9a7b84341d7c27f80ff5ef7ac8a9985	ru	0.9828813672065735	Метафорические Модели Удивления (На Материале Русских Идиом)	http://www.dialog-21.ru/digest/2001/articles/kozerenko/	TASK::Извлечение_именованных_сущностей(0.7082595825195312)
9	dialogue_2008_5b4f4b125f6424776fe0bfbee0fc5620657e4a24	ru	0.9823592305183411	Эволюция Форм Речевого Аргументативного Поведения как один из Аспектов Становления Коммуникативной Компетенции Языковой Личности	http://www.dialog-21.ru/media/1754/33.pdf	TASK::Извлечение_именованных_сущностей(0.728335976600647)
10	dialogue_2003_394ca3cf84359ee25c841273538e65e630c00d79	ru	0.9811196327209473	Коммуникативные Неудачи в Зеркале Детской Речи (Ранние Этапы)	http://www.dialog-21.ru/media/2640/kazakovskaja.pdf	

4.		dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe	ru	Реализация Первичного Семантического Анализа в Системе Диалинг	http://www.dialog-21.ru/digest/2000/articles/sokirko/	TASK::Дистрибутивная_семантика(0.7216031551361084)|TASK::Извлечение_именованных_сущностей(0.7115985751152039)|TASK::Тематическое_моделирование(0.7104688286781311)|TASK::Конечные_преобразователи(0.7039134502410889)
1	dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc	ru	0.9833611249923706	Смысловая Неполнота в Формуле Слабой Связи	http://www.dialog-21.ru/digest/2000/articles/leontyeva/	TASK::Извлечение_именованных_сущностей(0.7181994318962097)|TASK::Тематическое_моделирование(0.700252890586853)
2	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9823421835899353	Слова-отношения и их Роль в Представлении Знаний	http://www.dialog-21.ru/digest/2001/articles/leontyeva/	TASK::Извлечение_именованных_сущностей(0.7273459434509277)
3	dialogue_2009_bdfb54393aff0476b947f95364ba61f6433a4a9c	ru	0.9823404550552368	Программа Семантической Классификации Лексики — Просека: Теоретические и Прикладные Аспекты	http://www.dialog-21.ru/media/1587/37.pdf	TASK::Извлечение_именованных_сущностей(0.7158383131027222)|TASK::Тематическое_моделирование(0.7055937051773071)
4	dialogue_2010_b7faa43bf943f5668f42fa9a65cbdda40f592f4d	ru	0.9816254377365112	Особенности Лексико-морфологического Анализа при Извлечении Информационных Объектов и Связей из Текстов Естественного Языка	http://www.dialog-21.ru/media/1665/40.pdf	TASK::Извлечение_именованных_сущностей(0.7262970209121704)|TASK::Тематическое_моделирование(0.7162628173828125)
5	dialogue_2007_ac67049ce60d0894d58ca973892318300b8d3374	ru	0.9816209077835083	От Синтаксиса к Семантике – о Выборе Формализмов и Лингвистических Ресурсов	http://www.dialog-21.ru/media/1865/44.pdf	TASK::Тематическое_моделирование(0.7355588674545288)|TASK::Дистрибутивная_семантика(0.7255431413650513)|TASK::Извлечение_именованных_сущностей(0.7109034061431885)|TASK::Языковые_модели(0.7073197364807129)
6	dialogue_2002_862ff86c97b14361d5129fcfd5c49e267f084a73	ru	0.9813452959060669	О Проекте Лингвистического Процессора для Обработки Информации из Сети Интернет[1]	http://www.dialog-21.ru/digest/2002/articles/pertsova/	TASK::Извлечение_именованных_сущностей(0.7301061153411865)
7	dialogue_2004_db21f01ba76d742aae8e617373e4c1972f87a4b9	ru	0.9813189506530762	Опыт Построения Полной Морфемно-ориентированной Семантической Сети для Русского Языка	http://www.dialog-21.ru/media/2553/packin.pdf	TASK::Извлечение_именованных_сущностей(0.7178597450256348)
8	dialogue_2000_b4f454bdcdec2a76ed843448e377336afc05032b	ru	0.9810813069343567	Семантические Поля Словаря Росс: Опыт Заполнения, Анализ Дескриптивных Возможностей (Материалы к Унификации Словарных Описаний)	http://www.dialog-21.ru/digest/2000/articles/semenova/	TASK::Извлечение_именованных_сущностей(0.7318382263183594)|TASK::Тематическое_моделирование(0.7103731036186218)
9	dialogue_2007_693c62e52922ff213ab20196cc84789a7efb533f	ru	0.9809219241142273	К Проблеме Лемматизации Несловарных Словоформ	http://www.dialog-21.ru/media/1883/62.pdf	TASK::Тематическое_моделирование(0.7065396904945374)
10	dialogue_2009_2b6061044e38408be8eba04b9a25cfae7fedfecc	ru	0.9808809757232666	Синтаксическая Несовместимость как Свойство Линейной Организации Русского Предложения	http://www.dialog-21.ru/media/1577/27.pdf	TASK::Извлечение_именованных_сущностей(0.7058086395263672)

5.		dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529	ru	Моделирование Синтаксических Перестановок	http://www.dialog-21.ru/digest/2000/articles/zimmerling/	TASK::Извлечение_именованных_сущностей(0.7059474587440491)
1	dialogue_2007_0b09db4182e9aabfee9019a3b1c08e9aafdbbf15	ru	0.9943842887878418	Локативная Инверсия в Языках со Свободным Порядком Слов	http://www.dialog-21.ru/media/1903/82.pdf	
2	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9921587705612183	Локальные и Глобальные Правила в Синтаксисе	http://www.dialog-21.ru/media/1805/85.pdf	TASK::Извлечение_именованных_сущностей(0.7115888595581055)
3	dialogue_2006_952c75a21aaab9e275b2c623d2689ab65c756d47	ru	0.9919358491897583	Отношение Свободного Порядка Слов и Модели Инверсии	http://www.dialog-21.ru/media/2029/zimmerling.pdf	TASK::Извлечение_именованных_сущностей(0.710424542427063)
4	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9877930879592896	Синтаксические Нули в Теории Грамматики	http://www.dialog-21.ru/media/1631/81.pdf	
5	dialogue_2009_5fb8592bc84d61df4960dc7985a5eea61367b6c5	ru	0.986900269985199	К Проблеме Вариативности Языка: Метод Многофакторного Исчисления Второго Порядка	http://www.dialog-21.ru/media/1575/25.pdf	TASK::Извлечение_именованных_сущностей(0.7132867574691772)
6	dialogue_2003_69321ba7a0eaf7a302ca7e0a315d0df584af685d	ru	0.9865813851356506	Моделирование Языковых Структур со Значением Условия и Причины для Англо-русского Лингвистического Процессора	http://www.dialog-21.ru/media/2649/kozerenko.pdf	TASK::Извлечение_именованных_сущностей(0.7278386354446411)|TASK::Тематическое_моделирование(0.7033360004425049)
7	dialogue_2000_cdc377ca6b4a26679176680a98cccd4fbcfd8248	ru	0.9852524399757385	Имликативные Универсалии и Великие Основополагающие Планы Построения Языка	http://www.dialog-21.ru/digest/2000/articles/filimonova/	TASK::Извлечение_именованных_сущностей(0.7034810781478882)
8	dialogue_2006_6a3298dde28bc05375e1170522f35d5c4fcc1be7	ru	0.9849776029586792	Использование Схемы Наследования Рамок Валентностей в Тезаурусе Russnet для Автоматического Анализа Текста	http://www.dialog-21.ru/media/1925/azarova2.pdf	TASK::Извлечение_именованных_сущностей(0.7193953394889832)|TASK::Тематическое_моделирование(0.7037214040756226)|TASK::Дистрибутивная_семантика(0.7015082240104675)
9	dialogue_2015_cfc9663af0a93fd7226ca903ae6a665b6db9f86a	ru	0.9846363067626953	Гулял — Нагулял — Нагулялся. Заметки о Структуре Префиксально-постфиксальных Глаголов	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KisselevaXLTatevosovSG.pdf	TASK::Извлечение_именованных_сущностей(0.7274545431137085)
10	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.984033465385437	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Извлечение_именованных_сущностей(0.7031869888305664)

6.		dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289	ru	Синтезатор Татарской Речи: Вопросы Транскрипции Заимствований и Планирования Языка	http://www.dialog-21.ru/digest/2002/articles/ibragimov/	
1	dialogue_2002_abaf95b5c66e73d382e5597c91b8cf56110ece3f	ru	0.9067513346672058	Метафора Мертвая и Метафора Живая:экспериментальный Подход к Паремиологии Дунганского и Китайского Языков	http://www.dialog-21.ru/digest/2002/articles/zevakhina/	TASK::Тематическое_моделирование(0.7076272964477539)|TASK::Языковые_модели(0.7061786651611328)
2	dialogue_2002_d505931dff5eb2ccfa97d2734c7f0de448ea96c9	ru	0.9036077857017517	Русская Номинативная Лексика как Инструмент Изучения Зрительных Образов	http://www.dialog-21.ru/digest/2002/articles/semenova/	TASK::Тематическое_моделирование(0.7278422117233276)|TASK::Языковые_модели(0.7256737947463989)
3	dialogue_2002_7a08ec25ad268621c10533fe459b07eac81aa967	ru	0.8979228734970093	Неточная Редупликация как Средство Выражения Значения Репрезентативной Множественности	http://www.dialog-21.ru/digest/2002/articles/minlos/	TASK::Языковые_модели(0.7087551355361938)
4	dialogue_2001_a8835164281ef042f4b46763916b1c2d277eccc2	ru	0.8920831084251404	Деривация Литературных и Жаргонных Метафорических Значений в Русском Языке	http://www.dialog-21.ru/digest/2001/articles/rozina/	
5	dialogue_2000_eac75dad715b552be2cd0e7f487027de0b209d6e	ru	0.8892583250999451	К Вопросу об Автоматизации Литературно-научного Редактирования	http://www.dialog-21.ru/digest/2000/articles/bolshakova/	
6	dialogue_2003_963c0e6513feb869dc7ea994fd4a6689a751ef8c	ru	0.8862723112106323	Множественное Число Русских Предикатных Имён	http://www.dialog-21.ru/media/2676/paselskaja.pdf	
7	dialogue_2008_fac9e3c4e85ea91cdffd1b5afa3cdd12d240fab5	ru	0.8857397437095642	Измерение Частотности Синтаксических Молекул (На Материале Генерального Корпуса Русского Языка)	http://www.dialog-21.ru/media/1759/38.pdf	TASK::Тематическое_моделирование(0.7009457349777222)
8	dialogue_2005_eba60cd6856edd889da0d97e41b7f2dfa92622a3	ru	0.8851269483566284	Поверхностные Фильтры для Разрешения Семантической Омонимии в Текстовом Корпусе	http://www.dialog-21.ru/media/2383/kobritsovbp.pdf	TASK::Тематическое_моделирование(0.7122126817703247)
9	dialogue_2019_22b426e152ac934bd6d60ecc82f5d6d55f9161d7	ru	0.8846286535263062	Лексический Состав Текстов Учебников Русского Языка Для Младшей Школы: Корпусное Исследование	http://www.dialog-21.ru/media/4608/laposhinaаnplusetal-105.pdf	TASK::Тематическое_моделирование(0.7082831263542175)
10	dialogue_2004_43afa4149598cd4e545c0da775197aff537cee56	ru	0.8829528093338013	Ассоциативные Словари и Wordnet	http://www.dialog-21.ru/media/2558/petrova-k.pdf	TASK::Тематическое_моделирование(0.7379864454269409)|TASK::Языковые_модели(0.7062311172485352)|TASK::Извлечение_именованных_сущностей(0.7059768438339233)|TASK::Информационный_поиск(0.7033201456069946)

7.		dialogue_2002_977c4161efebe2a2da2bc9070b4c366f6dd7790d	ru	Обобщенные Модели Управления. Синтаксический Анализатор на Основе Обобщенных Моделей Управления	http://www.dialog-21.ru/digest/2002/articles/odintsev/	TASK::Извлечение_именованных_сущностей(0.7127917408943176)|TASK::Тематическое_моделирование(0.7121231555938721)
1	dialogue_2001_86d74f3bc770ec15a94bff16b28698291010853f	ru	0.9928487539291382	Обучаемый Синтаксический Анализатор Естественного Языка	http://www.dialog-21.ru/digest/2001/articles/odintsev/	TASK::Извлечение_именованных_сущностей(0.7130850553512573)|TASK::Тематическое_моделирование(0.7082985639572144)
2	dialogue_2000_656d0d77d8325fa9636a973be944d8b6f6cb924a	ru	0.9912319779396057	Методы Улучшения Качества Синтаксического Анализа Фраз Естественного Языка.	http://www.dialog-21.ru/digest/2000/articles/odintsev/	TASK::Извлечение_именованных_сущностей(0.7128382921218872)|TASK::Тематическое_моделирование(0.707584023475647)
3	dialogue_2002_95ec453188ac28fa8af193d4c4f0d3989b72eefe	ru	0.9867509603500366	Неполный Синтаксический Анализ Текста в Информационно-поисковых Системах	http://www.dialog-21.ru/digest/2002/articles/ermakov/	TASK::Извлечение_именованных_сущностей(0.7130208015441895)|TASK::Тематическое_моделирование(0.7090643644332886)
4	dialogue_2002_142141991ce299bf6f2a74e154d6c4aa63ab7412	ru	0.9864126443862915	Модели Лингвистического Транслятора	http://www.dialog-21.ru/digest/2002/articles/khahalin1/	TASK::Тематическое_моделирование(0.7349904775619507)|TASK::Извлечение_именованных_сущностей(0.725771427154541)|TASK::Дистрибутивная_семантика(0.7160660624504089)
5	dialogue_2010_cafa183e7f5c6d90005f12cec6fca88a31b02378	ru	0.9861791133880615	Синтаксический Анализатор «Treevial». Принцип Динамического Ранжирования Гипотез	http://www.dialog-21.ru/media/1696/71.pdf	TASK::Извлечение_именованных_сущностей(0.7050433158874512)
6	aist_2013_8200539f3cfa7e9b595193f42fd9b49b4f57864d	ru	0.9858064651489258	Анализ Статистических Алгоритмов Снятия Морфологической Омонимии в Русском Языке	https://publications.hse.ru/chapters/102449956	TASK::Тематическое_моделирование(0.7098630666732788)|TASK::Извлечение_именованных_сущностей(0.7032812237739563)
7	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.9854305982589722	Референциальный Выбор как Многофакторный Вероятностный Процесс	http://www.dialog-21.ru/media/1653/28.pdf	TASK::Тематическое_моделирование(0.7115781307220459)|TASK::Извлечение_именованных_сущностей(0.7066473364830017)
8	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9852937459945679	Интеллектуальная Система Предсинтаксического Анализа Русского Текста (Испа)	http://www.dialog-21.ru/media/2598/afanisjev.pdf	TASK::Тематическое_моделирование(0.7232226133346558)|TASK::Извлечение_именованных_сущностей(0.7169678807258606)
9	dialogue_2005_bcc73955169fcb7f1faa92fadf2b3dff77012aeb	ru	0.9852858781814575	Вероятностная Модель Снятия Морфологической Омонимии на Основе Нормализующих Подстановок и Позиций Соседних Слов	http://www.dialog-21.ru/media/2444/zelenkov_segalovich.pdf	TASK::Извлечение_именованных_сущностей(0.7047716975212097)
10	dialogue_2004_5a1fd0f8e3e7e17540bcd7c7a1f8a521119cd517	ru	0.9850738644599915	Динамическая Грамматика и ее Употребление в Автоматической Обработке Языка	http://www.dialog-21.ru/media/2577/tugwell.pdf	TASK::Тематическое_моделирование(0.7106653451919556)|TASK::Извлечение_именованных_сущностей(0.704096794128418)

8.		dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd	ru	Разработка Формализма для Описания Сегментных Морфологических Процессов в Германских Языках и его Компьютерная Реализация	http://www.dialog-21.ru/digest/2002/articles/perekrestenko/	TASK::Конечные_преобразователи(0.7054125666618347)
1	dialogue_2005_f0716199b0fb1c9cea6ceaba385fde12118646d1	ru	0.973402202129364	Разработка Парсера и Модуля Унификации для Синтаксического Процессора	http://www.dialog-21.ru/media/2414/perekrestenkoa.pdf	TASK::Извлечение_именованных_сущностей(0.712539553642273)|TASK::Конечные_преобразователи(0.7071130871772766)|TASK::Дистрибутивная_семантика(0.7006977796554565)
2	dialogue_2007_ed6163bfb0a77facf854c1bf117a6c472c418e06	ru	0.9717467427253723	Лексико-синтаксические Шаблоны в Задачах Автоматической Обработки Текста	http://www.dialog-21.ru/media/1832/11.pdf	TASK::Извлечение_именованных_сущностей(0.7205609679222107)|TASK::Тематическое_моделирование(0.7070733308792114)
3	dialogue_2004_362ef4c32d51ff3d0cc37fdfdfc411b9b1be72b1	ru	0.9713140726089478	Разработка Системы Автоматического Синтаксического Анализа на Основе Мягко Контекстно-зависимой Унификационной Грамматики	http://www.dialog-21.ru/media/2557/perekrestenko.pdf	TASK::Извлечение_именованных_сущностей(0.7084740400314331)
4	dialogue_2001_f5198581c80cc5606f0f4cfc45c31c3582856299	ru	0.9706472158432007	Лемматизация Слов Русского Языка в Применении к Распознаванию Слитной Речи	http://www.dialog-21.ru/digest/2001/articles/savvina/	TASK::Извлечение_именованных_сущностей(0.7011827826499939)
5	dialogue_2006_94358299f43a22fc4a98943d9aae99341b158608	ru	0.9698609709739685	Модель Синтаксиса в Системе Морфосинтаксического Анализа «Treeton»	http://www.dialog-21.ru/media/2005/starostin.pdf	TASK::Конечные_преобразователи(0.7133615612983704)
6	dialogue_2002_6679f134c915ebe549b0e4ec3af7dff91994adb0	ru	0.9687398672103882	Морфологическое Описание Языка и Глоссирование Текста: Задачи Лингвиста и Автоматизированной Системы (На Материале Селькупского Языка)	http://www.dialog-21.ru/digest/2002/articles/egorushkin/	TASK::Извлечение_именованных_сущностей(0.7191320657730103)|TASK::Конечные_преобразователи(0.7042309641838074)
7	dialogue_2013_0ac379abcec662bfcdace5103b100f419383220a	ru	0.9685896635055542	Визуализация Данных для Каталога Русских Лексических Конструкций (На Материале Нкря)	http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf	TASK::Извлечение_именованных_сущностей(0.7131578922271729)|TASK::Дистрибутивная_семантика(0.7093374133110046)|TASK::Тематическое_моделирование(0.7060142755508423)
8	dialogue_2001_09e3b519a2276fe25446cf717ab04b7e1d1654e5	ru	0.9684813618659973	Словокомплексы и Шаблоны в Технологии Inbase	http://www.dialog-21.ru/digest/2001/articles/azhichakov/	TASK::Извлечение_именованных_сущностей(0.7101771831512451)
