1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.8309836983680725)|TASK::Морфологический_анализ(0.8243863582611084)|TASK::Построение_конкордансов(0.8214727640151978)|TASK::Автоматическое_реферирование(0.7756644487380981)|TASK::Синтаксический_анализ(0.7748113870620728)|TASK::Конечные_преобразователи(0.7497396469116211)|TASK::Языковые_модели(0.7393910884857178)|TASK::Тематическое_моделирование(0.738929271697998)|TASK::Извлечение_именованных_сущностей(0.7379180192947388)|TASK::Извлечение_ключевых_слов(0.7203729748725891)|TASK::Обработка_речи(0.7095963954925537)|TASK::Обнаружение_дубликатов(0.7025851011276245)

2.		dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	Основные Параметры Прикладного Направления «Педагогическая Лингвистика»	http://www.dialog-21.ru/digest/2000/articles/borisova/	TASK::Морфологический_анализ(0.8120864629745483)|TASK::Построение_конкордансов(0.8060411214828491)|TASK::Дистрибутивная_семантика(0.7846888899803162)|TASK::Тематическое_моделирование(0.7389838695526123)|TASK::Языковые_модели(0.7381066679954529)|TASK::Синтаксический_анализ(0.7299659848213196)|TASK::Автоматическое_реферирование(0.7291637659072876)|TASK::Обработка_речи(0.7265005111694336)|TASK::Извлечение_именованных_сущностей(0.717624306678772)|TASK::Проверка_правописания(0.7016297578811646)
1	dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03	ru	0.9856935143470764	Теория, Описание, Приложение: Полемика и Диалог	http://www.dialog-21.ru/digest/2000/articles/loutikova/	TASK::Морфологический_анализ(0.8116265535354614)|TASK::Построение_конкордансов(0.8071846961975098)|TASK::Дистрибутивная_семантика(0.8021377921104431)|TASK::Автоматическое_реферирование(0.737942099571228)|TASK::Синтаксический_анализ(0.7358896136283875)|TASK::Тематическое_моделирование(0.7245923280715942)|TASK::Языковые_модели(0.7190510034561157)|TASK::Извлечение_именованных_сущностей(0.7173796892166138)|TASK::Конечные_преобразователи(0.7120544910430908)|TASK::Проверка_правописания(0.7098426222801208)|TASK::Обработка_речи(0.7047146558761597)
2	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.9843334555625916	К Проблеме Построения Семантического Метаязыка	http://www.dialog-21.ru/media/1994/percov.pdf	TASK::Морфологический_анализ(0.8240317106246948)|TASK::Построение_конкордансов(0.8237425088882446)|TASK::Дистрибутивная_семантика(0.8074518442153931)|TASK::Синтаксический_анализ(0.7555800676345825)|TASK::Автоматическое_реферирование(0.7375205755233765)|TASK::Тематическое_моделирование(0.7355666756629944)|TASK::Языковые_модели(0.7343621253967285)|TASK::Обработка_речи(0.7276107668876648)|TASK::Извлечение_именованных_сущностей(0.7273954153060913)|TASK::Проверка_правописания(0.7136538028717041)|TASK::Конечные_преобразователи(0.7072767019271851)
3	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9839118719100952	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Построение_конкордансов(0.8044392466545105)|TASK::Морфологический_анализ(0.7850682735443115)|TASK::Дистрибутивная_семантика(0.7562569379806519)|TASK::Тематическое_моделирование(0.7254571914672852)|TASK::Автоматическое_реферирование(0.71904456615448)|TASK::Языковые_модели(0.7186132669448853)|TASK::Обработка_речи(0.7054325342178345)|TASK::Синтаксический_анализ(0.7024387717247009)
4	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9838013648986816	Принципы Синтаксической Разметки Хельсинкского Аннотированного Корпуса Русских Текстов Ханко	http://www.dialog-21.ru/media/1964/kopotev.pdf	TASK::Морфологический_анализ(0.8066823482513428)|TASK::Построение_конкордансов(0.8064054250717163)|TASK::Дистрибутивная_семантика(0.7810065746307373)|TASK::Автоматическое_реферирование(0.7524252533912659)|TASK::Синтаксический_анализ(0.7340083718299866)|TASK::Тематическое_моделирование(0.7185898423194885)|TASK::Проверка_правописания(0.7154349088668823)|TASK::Извлечение_именованных_сущностей(0.711609959602356)|TASK::Конечные_преобразователи(0.7017949819564819)|TASK::Языковые_модели(0.7003830075263977)
5	dialogue_2000_e77432c4b1eb8ace8e6805a7607cd573c8e97ef0	ru	0.9836066365242004	Об Оппозиции Системоцентричности и Антропоцентричности Применительно к Политической Лингвистике	http://www.dialog-21.ru/digest/2000/articles/parshin/	TASK::Построение_конкордансов(0.8093866109848022)|TASK::Морфологический_анализ(0.7879128456115723)|TASK::Дистрибутивная_семантика(0.7561572194099426)|TASK::Автоматическое_реферирование(0.7457221746444702)|TASK::Тематическое_моделирование(0.7425182461738586)|TASK::Извлечение_именованных_сущностей(0.7117775678634644)|TASK::Языковые_модели(0.7079838514328003)
6	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.9829022288322449	Понимание Естественного Текста в Свете Теории Информации	http://www.dialog-21.ru/media/2612/borisova.pdf	TASK::Построение_конкордансов(0.8039857149124146)|TASK::Морфологический_анализ(0.8024553060531616)|TASK::Дистрибутивная_семантика(0.7795199155807495)|TASK::Автоматическое_реферирование(0.7694184184074402)|TASK::Тематическое_моделирование(0.7406526207923889)|TASK::Извлечение_именованных_сущностей(0.719728946685791)|TASK::Обработка_речи(0.7187801599502563)|TASK::Синтаксический_анализ(0.7166703939437866)|TASK::Языковые_модели(0.7141566872596741)|TASK::Конечные_преобразователи(0.7073119878768921)
7	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9827761054039001	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Построение_конкордансов(0.8177454471588135)|TASK::Морфологический_анализ(0.8138316869735718)|TASK::Дистрибутивная_семантика(0.8092467784881592)|TASK::Синтаксический_анализ(0.7482672929763794)|TASK::Автоматическое_реферирование(0.7419288158416748)|TASK::Тематическое_моделирование(0.7387576103210449)|TASK::Обработка_речи(0.738479495048523)|TASK::Языковые_модели(0.738196849822998)|TASK::Извлечение_именованных_сущностей(0.7339832782745361)|TASK::Конечные_преобразователи(0.7070814371109009)
8	dialogue_2007_fc934d6ab2dd0bf7be4907aed147d3554675ee6a	ru	0.9827148914337158	Если Семантический Класс Широк для Слова (К Представлению Лексики в Машинном Словаре)	http://www.dialog-21.ru/media/1897/76.pdf	TASK::Морфологический_анализ(0.82159024477005)|TASK::Дистрибутивная_семантика(0.8102363348007202)|TASK::Построение_конкордансов(0.8073692321777344)|TASK::Автоматическое_реферирование(0.7528624534606934)|TASK::Синтаксический_анализ(0.7415333390235901)|TASK::Извлечение_именованных_сущностей(0.7411583662033081)|TASK::Тематическое_моделирование(0.7371553182601929)|TASK::Конечные_преобразователи(0.720181941986084)|TASK::Языковые_модели(0.7117617130279541)|TASK::Обработка_речи(0.7025624513626099)
9	dialogue_2006_ac116c195f5927bd7fe921205df12c0bb1b50073	ru	0.9826388359069824	Проблема Эквивалентности Языковых Структур при Переводе и Семантическом Выравнивании Параллельных Текстов	http://www.dialog-21.ru/media/2055/kozerenkoe.pdf	TASK::Морфологический_анализ(0.8232837915420532)|TASK::Построение_конкордансов(0.8187668323516846)|TASK::Дистрибутивная_семантика(0.7851333618164062)|TASK::Обработка_речи(0.7457338571548462)|TASK::Синтаксический_анализ(0.7438501715660095)|TASK::Автоматическое_реферирование(0.7359646558761597)|TASK::Языковые_модели(0.7255523800849915)|TASK::Проверка_правописания(0.7215481400489807)|TASK::Тематическое_моделирование(0.7170308828353882)|TASK::Извлечение_именованных_сущностей(0.7051500082015991)
10	dialogue_2002_b8f3a7274eb56feb8ee4cd96a86cafac7b24ff05	ru	0.9823227524757385	Квазиискусственный Язык	http://www.dialog-21.ru/digest/2002/articles/nepejvoda/	TASK::Построение_конкордансов(0.8144015073776245)|TASK::Морфологический_анализ(0.8035186529159546)|TASK::Дистрибутивная_семантика(0.7922912836074829)|TASK::Синтаксический_анализ(0.7464883327484131)|TASK::Автоматическое_реферирование(0.7427075505256653)|TASK::Извлечение_именованных_сущностей(0.7249192595481873)|TASK::Тематическое_моделирование(0.7187407612800598)|TASK::Конечные_преобразователи(0.7146176695823669)|TASK::Языковые_модели(0.7139536142349243)|TASK::Проверка_правописания(0.7117360830307007)|TASK::Обработка_речи(0.7060586214065552)

3.		dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e	ru	Ментальная Лексика, Когнитивная Лингвистика и Антропоцентричность Языка*	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/	TASK::Построение_конкордансов(0.7966612577438354)|TASK::Морфологический_анализ(0.783267617225647)|TASK::Дистрибутивная_семантика(0.7721073627471924)|TASK::Обработка_речи(0.7268470525741577)|TASK::Автоматическое_реферирование(0.7231037616729736)|TASK::Тематическое_моделирование(0.7219339609146118)|TASK::Языковые_модели(0.7120433449745178)|TASK::Синтаксический_анализ(0.7105635404586792)|TASK::Извлечение_именованных_сущностей(0.7078337669372559)
1	dialogue_2002_c3936ad5677e01d1d42185af3bdf802bcce54fa9	ru	0.990449070930481	Дискурсивное Vs. Недискурсивное Знание: Проблемы Описания	http://www.dialog-21.ru/digest/2002/articles/ryabtseva/	TASK::Построение_конкордансов(0.7760337591171265)|TASK::Дистрибутивная_семантика(0.7477800846099854)|TASK::Морфологический_анализ(0.7443652749061584)|TASK::Анализ_тональности(0.7061508893966675)|TASK::Извлечение_именованных_сущностей(0.7060419321060181)|TASK::Тематическое_моделирование(0.7014961242675781)|TASK::Обработка_речи(0.7005450129508972)
2	dialogue_2002_c4c0f63feb5ca3438ecd8cbc84280e5d5eb733db	ru	0.9885843396186829	Метафорическая Концептуализация Сознания в Русском и Английском Языках	http://www.dialog-21.ru/digest/2002/articles/novoselova/	TASK::Построение_конкордансов(0.7891062498092651)|TASK::Морфологический_анализ(0.7776211500167847)|TASK::Дистрибутивная_семантика(0.7731737494468689)|TASK::Обработка_речи(0.7150582671165466)|TASK::Тематическое_моделирование(0.7134344577789307)|TASK::Извлечение_именованных_сущностей(0.7131996154785156)|TASK::Автоматическое_реферирование(0.7119616270065308)|TASK::Синтаксический_анализ(0.7067664861679077)|TASK::Языковые_модели(0.7052302360534668)
3	dialogue_2007_a063b56695ef07548600f85f7c02e8fc07aea472	ru	0.9843371510505676	Социокультурная Мотивированность Нарративов	http://www.dialog-21.ru/media/1827/06.pdf	TASK::Построение_конкордансов(0.8080999255180359)|TASK::Морфологический_анализ(0.7780565023422241)|TASK::Дистрибутивная_семантика(0.7639349102973938)|TASK::Автоматическое_реферирование(0.7378247976303101)|TASK::Тематическое_моделирование(0.7281391620635986)|TASK::Обработка_речи(0.720276951789856)|TASK::Извлечение_именованных_сущностей(0.702163815498352)
4	dialogue_2001_1e8ea9cca9a7b84341d7c27f80ff5ef7ac8a9985	ru	0.9842987060546875	Метафорические Модели Удивления (На Материале Русских Идиом)	http://www.dialog-21.ru/digest/2001/articles/kozerenko/	TASK::Построение_конкордансов(0.7774654626846313)|TASK::Морфологический_анализ(0.7639569640159607)|TASK::Дистрибутивная_семантика(0.7514896988868713)|TASK::Анализ_тональности(0.7065021991729736)|TASK::Обработка_речи(0.7025842666625977)
5	dialogue_2001_4d688c18a8921a58cdcc5cf5e470cfac21662c43	ru	0.9838145971298218	О Семиотической Конгруэнтности в Речевой Коммуникации (К Постановке Проблемы)	http://www.dialog-21.ru/digest/2001/articles/zaretskaya/	TASK::Построение_конкордансов(0.7691439390182495)|TASK::Морфологический_анализ(0.7476434111595154)|TASK::Дистрибутивная_семантика(0.7391582131385803)|TASK::Извлечение_именованных_сущностей(0.7040832042694092)|TASK::Обработка_речи(0.7010353803634644)
6	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9835744500160217	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Построение_конкордансов(0.8177454471588135)|TASK::Морфологический_анализ(0.8138316869735718)|TASK::Дистрибутивная_семантика(0.8092467784881592)|TASK::Синтаксический_анализ(0.7482672929763794)|TASK::Автоматическое_реферирование(0.7419288158416748)|TASK::Тематическое_моделирование(0.7387576103210449)|TASK::Обработка_речи(0.738479495048523)|TASK::Языковые_модели(0.738196849822998)|TASK::Извлечение_именованных_сущностей(0.7339832782745361)|TASK::Конечные_преобразователи(0.7070814371109009)
7	dialogue_2008_90a7d21d7ce5960a8854f82e0472f1ff7af0f471	ru	0.9817882776260376	Против «Разложения Смысла»: Узнавание в Семантике Идиом	http://www.dialog-21.ru/media/1727/6.pdf	TASK::Морфологический_анализ(0.7944245934486389)|TASK::Построение_конкордансов(0.7908169627189636)|TASK::Дистрибутивная_семантика(0.7902827262878418)|TASK::Синтаксический_анализ(0.720106840133667)|TASK::Автоматическое_реферирование(0.718163788318634)|TASK::Тематическое_моделирование(0.7151855826377869)|TASK::Обработка_речи(0.714169979095459)|TASK::Извлечение_именованных_сущностей(0.707575798034668)|TASK::Языковые_модели(0.7025942802429199)
8	dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736	ru	0.9817080497741699	Категория Понимания, или Позиция Слушающего в Речевой Коммуникации	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/	TASK::Построение_конкордансов(0.7640879154205322)|TASK::Дистрибутивная_семантика(0.7349728345870972)|TASK::Морфологический_анализ(0.732674241065979)|TASK::Анализ_тональности(0.708939790725708)
9	dialogue_2012_0a4a35926181aa07fa67b1b5e770313da0093031	ru	0.9812785387039185	О Структуре Тезауруса Пословиц	http://www.dialog-21.ru/media/1348/115.pdf	TASK::Построение_конкордансов(0.804924488067627)|TASK::Дистрибутивная_семантика(0.7884547710418701)|TASK::Морфологический_анализ(0.7868392467498779)|TASK::Автоматическое_реферирование(0.7344958782196045)|TASK::Тематическое_моделирование(0.7212064266204834)|TASK::Извлечение_именованных_сущностей(0.7172551155090332)|TASK::Синтаксический_анализ(0.7124905586242676)
10	dialogue_2014_0dcf3e0729a792f4b40d2a00929ab6ce287c9e01	ru	0.9807521104812622	Прагматика Зачёркивания: Нормы Коммуникации и Теория Оптимальности	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PiperskiAChSominAA.pdf	TASK::Построение_конкордансов(0.7975667715072632)|TASK::Морфологический_анализ(0.7633980512619019)|TASK::Дистрибутивная_семантика(0.7548686265945435)|TASK::Автоматическое_реферирование(0.7351056337356567)|TASK::Тематическое_моделирование(0.7126719951629639)|TASK::Проверка_правописания(0.7096002101898193)|TASK::Обработка_речи(0.7000130414962769)

4.		dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe	ru	Реализация Первичного Семантического Анализа в Системе Диалинг	http://www.dialog-21.ru/digest/2000/articles/sokirko/	TASK::Морфологический_анализ(0.8460139036178589)|TASK::Дистрибутивная_семантика(0.8441327810287476)|TASK::Построение_конкордансов(0.8080338835716248)|TASK::Синтаксический_анализ(0.7822996973991394)|TASK::Конечные_преобразователи(0.7572574615478516)|TASK::Автоматическое_реферирование(0.7476738691329956)|TASK::Извлечение_именованных_сущностей(0.7380176782608032)|TASK::Языковые_модели(0.7197049260139465)|TASK::Обработка_речи(0.7129974365234375)|TASK::Тематическое_моделирование(0.7088285088539124)
1	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9849535226821899	Объектная Модель Многофункциональных Словарей, Основанная на Синтезе Лингвистических Единиц	http://www.dialog-21.ru/media/2636/ivlicheva.pdf	TASK::Морфологический_анализ(0.8221563100814819)|TASK::Дистрибутивная_семантика(0.8221502900123596)|TASK::Построение_конкордансов(0.8050039410591125)|TASK::Извлечение_именованных_сущностей(0.7550308704376221)|TASK::Синтаксический_анализ(0.7547647953033447)|TASK::Конечные_преобразователи(0.7464438676834106)|TASK::Автоматическое_реферирование(0.7376715540885925)|TASK::Тематическое_моделирование(0.7081403732299805)|TASK::Языковые_модели(0.704641580581665)
2	dialogue_2009_2b6061044e38408be8eba04b9a25cfae7fedfecc	ru	0.9848571419715881	Синтаксическая Несовместимость как Свойство Линейной Организации Русского Предложения	http://www.dialog-21.ru/media/1577/27.pdf	TASK::Морфологический_анализ(0.834377110004425)|TASK::Дистрибутивная_семантика(0.8233035802841187)|TASK::Построение_конкордансов(0.7993122339248657)|TASK::Синтаксический_анализ(0.760784924030304)|TASK::Конечные_преобразователи(0.7455076575279236)|TASK::Автоматическое_реферирование(0.7371469736099243)|TASK::Извлечение_именованных_сущностей(0.7252424955368042)|TASK::Обработка_речи(0.7132300138473511)|TASK::Языковые_модели(0.7054731845855713)
3	dialogue_2013_0ac379abcec662bfcdace5103b100f419383220a	ru	0.9844879508018494	Визуализация Данных для Каталога Русских Лексических Конструкций (На Материале Нкря)	http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf	TASK::Морфологический_анализ(0.8471622467041016)|TASK::Дистрибутивная_семантика(0.830726683139801)|TASK::Построение_конкордансов(0.8069843053817749)|TASK::Синтаксический_анализ(0.7850445508956909)|TASK::Автоматическое_реферирование(0.7587682008743286)|TASK::Конечные_преобразователи(0.7431974411010742)|TASK::Обработка_речи(0.7302600741386414)|TASK::Языковые_модели(0.7241803407669067)|TASK::Извлечение_именованных_сущностей(0.7222060561180115)|TASK::Тематическое_моделирование(0.7167582511901855)|TASK::Проверка_правописания(0.7156270146369934)|TASK::Извлечение_ключевых_слов(0.7038134336471558)
4	dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc	ru	0.9836567640304565	Смысловая Неполнота в Формуле Слабой Связи	http://www.dialog-21.ru/digest/2000/articles/leontyeva/	TASK::Дистрибутивная_семантика(0.8111430406570435)|TASK::Морфологический_анализ(0.8106719255447388)|TASK::Построение_конкордансов(0.8096616268157959)|TASK::Автоматическое_реферирование(0.7520120739936829)|TASK::Синтаксический_анализ(0.7509850263595581)|TASK::Конечные_преобразователи(0.7285101413726807)|TASK::Извлечение_именованных_сущностей(0.7258751392364502)|TASK::Тематическое_моделирование(0.7229607701301575)|TASK::Обработка_речи(0.703994870185852)|TASK::Языковые_модели(0.7029620409011841)|TASK::Проверка_правописания(0.7028326988220215)
5	dialogue_2002_862ff86c97b14361d5129fcfd5c49e267f084a73	ru	0.9835992455482483	О Проекте Лингвистического Процессора для Обработки Информации из Сети Интернет[1]	http://www.dialog-21.ru/digest/2002/articles/pertsova/	TASK::Морфологический_анализ(0.8209432363510132)|TASK::Дистрибутивная_семантика(0.8056838512420654)|TASK::Построение_конкордансов(0.7885720729827881)|TASK::Конечные_преобразователи(0.7480306029319763)|TASK::Извлечение_именованных_сущностей(0.7449486255645752)|TASK::Синтаксический_анализ(0.7405517101287842)|TASK::Автоматическое_реферирование(0.7234241962432861)
