1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.755886971950531)|TASK::Конечные_преобразователи(0.7476552724838257)|TASK::Языковые_модели(0.7371660470962524)|TASK::Тематическое_моделирование(0.7356764674186707)|TASK::Извлечение_именованных_сущностей(0.733953595161438)|TASK::Извлечение_ключевых_слов(0.7184091806411743)|TASK::Обработка_речи(0.7108583450317383)|TASK::Обнаружение_дубликатов(0.7020483016967773)

2.		dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	Основные Параметры Прикладного Направления «Педагогическая Лингвистика»	http://www.dialog-21.ru/digest/2000/articles/borisova/	TASK::Тематическое_моделирование(0.7392594814300537)|TASK::Языковые_модели(0.7382274270057678)|TASK::Обработка_речи(0.7259162068367004)|TASK::Извлечение_именованных_сущностей(0.7166070938110352)|TASK::Дистрибутивная_семантика(0.7071778774261475)
1	dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03	ru	0.9854504466056824	Теория, Описание, Приложение: Полемика и Диалог	http://www.dialog-21.ru/digest/2000/articles/loutikova/	TASK::Тематическое_моделирование(0.7263239622116089)|TASK::Дистрибутивная_семантика(0.7217738032341003)|TASK::Языковые_модели(0.7194441556930542)|TASK::Извлечение_именованных_сущностей(0.7155163288116455)|TASK::Конечные_преобразователи(0.7094001770019531)|TASK::Обработка_речи(0.7024796009063721)
2	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.9837281107902527	К Проблеме Построения Семантического Метаязыка	http://www.dialog-21.ru/media/1994/percov.pdf	TASK::Тематическое_моделирование(0.7343521118164062)|TASK::Языковые_модели(0.7327727675437927)|TASK::Дистрибутивная_семантика(0.7312608957290649)|TASK::Обработка_речи(0.7278241515159607)|TASK::Извлечение_именованных_сущностей(0.7241023778915405)|TASK::Конечные_преобразователи(0.7060721516609192)
3	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9836844801902771	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Тематическое_моделирование(0.7251310348510742)|TASK::Языковые_модели(0.7183392643928528)|TASK::Обработка_речи(0.7048239707946777)
4	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9833942651748657	Принципы Синтаксической Разметки Хельсинкского Аннотированного Корпуса Русских Текстов Ханко	http://www.dialog-21.ru/media/1964/kopotev.pdf	TASK::Тематическое_моделирование(0.7190728187561035)|TASK::Извлечение_именованных_сущностей(0.7102022171020508)
5	dialogue_2000_e77432c4b1eb8ace8e6805a7607cd573c8e97ef0	ru	0.982886552810669	Об Оппозиции Системоцентричности и Антропоцентричности Применительно к Политической Лингвистике	http://www.dialog-21.ru/digest/2000/articles/parshin/	TASK::Тематическое_моделирование(0.7422633171081543)|TASK::Извлечение_именованных_сущностей(0.7099417448043823)|TASK::Языковые_модели(0.7061837315559387)
6	dialogue_2007_fc934d6ab2dd0bf7be4907aed147d3554675ee6a	ru	0.9822366237640381	Если Семантический Класс Широк для Слова (К Представлению Лексики в Машинном Словаре)	http://www.dialog-21.ru/media/1897/76.pdf	TASK::Извлечение_именованных_сущностей(0.738059937953949)|TASK::Тематическое_моделирование(0.7377418279647827)|TASK::Дистрибутивная_семантика(0.7295562028884888)|TASK::Конечные_преобразователи(0.7174791097640991)|TASK::Языковые_модели(0.7102581858634949)|TASK::Обработка_речи(0.7018751502037048)
7	dialogue_2006_ac116c195f5927bd7fe921205df12c0bb1b50073	ru	0.9818618297576904	Проблема Эквивалентности Языковых Структур при Переводе и Семантическом Выравнивании Параллельных Текстов	http://www.dialog-21.ru/media/2055/kozerenkoe.pdf	TASK::Обработка_речи(0.7458895444869995)|TASK::Языковые_модели(0.7260279655456543)|TASK::Тематическое_моделирование(0.716920018196106)|TASK::Дистрибутивная_семантика(0.7071470022201538)|TASK::Извлечение_именованных_сущностей(0.7036855816841125)
8	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9818216562271118	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Языковые_модели(0.7397177815437317)|TASK::Тематическое_моделирование(0.7396252155303955)|TASK::Обработка_речи(0.7368143796920776)|TASK::Дистрибутивная_семантика(0.736127495765686)|TASK::Извлечение_именованных_сущностей(0.7335783243179321)|TASK::Конечные_преобразователи(0.7045279741287231)
9	dialogue_2002_b8f3a7274eb56feb8ee4cd96a86cafac7b24ff05	ru	0.9818130731582642	Квазиискусственный Язык	http://www.dialog-21.ru/digest/2002/articles/nepejvoda/	TASK::Извлечение_именованных_сущностей(0.7243958711624146)|TASK::Тематическое_моделирование(0.7187873125076294)|TASK::Конечные_преобразователи(0.714322566986084)|TASK::Языковые_модели(0.7137454748153687)|TASK::Дистрибутивная_семантика(0.713720977306366)|TASK::Обработка_речи(0.7060009241104126)
10	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.9817612767219543	Понимание Естественного Текста в Свете Теории Информации	http://www.dialog-21.ru/media/2612/borisova.pdf	TASK::Тематическое_моделирование(0.7405804395675659)|TASK::Извлечение_именованных_сущностей(0.7195696830749512)|TASK::Обработка_речи(0.7157419919967651)|TASK::Языковые_модели(0.7136438488960266)|TASK::Конечные_преобразователи(0.7052028179168701)|TASK::Дистрибутивная_семантика(0.7006865739822388)

3.		dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e	ru	Ментальная Лексика, Когнитивная Лингвистика и Антропоцентричность Языка*	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/	TASK::Обработка_речи(0.7251003980636597)|TASK::Тематическое_моделирование(0.7199803590774536)|TASK::Языковые_модели(0.7095531225204468)|TASK::Извлечение_именованных_сущностей(0.705572247505188)
1	dialogue_2002_c3936ad5677e01d1d42185af3bdf802bcce54fa9	ru	0.9900649785995483	Дискурсивное Vs. Недискурсивное Знание: Проблемы Описания	http://www.dialog-21.ru/digest/2002/articles/ryabtseva/	TASK::Анализ_тональности(0.7053372859954834)|TASK::Извлечение_именованных_сущностей(0.7045133113861084)|TASK::Тематическое_моделирование(0.700383186340332)
2	dialogue_2002_c4c0f63feb5ca3438ecd8cbc84280e5d5eb733db	ru	0.9875714778900146	Метафорическая Концептуализация Сознания в Русском и Английском Языках	http://www.dialog-21.ru/digest/2002/articles/novoselova/	TASK::Обработка_речи(0.7128624320030212)|TASK::Тематическое_моделирование(0.7093000411987305)|TASK::Извлечение_именованных_сущностей(0.7088100910186768)|TASK::Языковые_модели(0.7002780437469482)
3	dialogue_2001_4d688c18a8921a58cdcc5cf5e470cfac21662c43	ru	0.9837542772293091	О Семиотической Конгруэнтности в Речевой Коммуникации (К Постановке Проблемы)	http://www.dialog-21.ru/digest/2001/articles/zaretskaya/	TASK::Извлечение_именованных_сущностей(0.7030930519104004)
4	dialogue_2007_a063b56695ef07548600f85f7c02e8fc07aea472	ru	0.9829052686691284	Социокультурная Мотивированность Нарративов	http://www.dialog-21.ru/media/1827/06.pdf	TASK::Тематическое_моделирование(0.7284279465675354)|TASK::Обработка_речи(0.7137783765792847)|TASK::Извлечение_именованных_сущностей(0.702953577041626)
5	dialogue_2001_1e8ea9cca9a7b84341d7c27f80ff5ef7ac8a9985	ru	0.9824848175048828	Метафорические Модели Удивления (На Материале Русских Идиом)	http://www.dialog-21.ru/digest/2001/articles/kozerenko/	TASK::Анализ_тональности(0.7069283723831177)
6	dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736	ru	0.9820020198822021	Категория Понимания, или Позиция Слушающего в Речевой Коммуникации	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/	TASK::Анализ_тональности(0.7075561285018921)
7	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9819989204406738	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Языковые_модели(0.7397177815437317)|TASK::Тематическое_моделирование(0.7396252155303955)|TASK::Обработка_речи(0.7368143796920776)|TASK::Дистрибутивная_семантика(0.736127495765686)|TASK::Извлечение_именованных_сущностей(0.7335783243179321)|TASK::Конечные_преобразователи(0.7045279741287231)
8	dialogue_2008_90a7d21d7ce5960a8854f82e0472f1ff7af0f471	ru	0.9811079502105713	Против «Разложения Смысла»: Узнавание в Семантике Идиом	http://www.dialog-21.ru/media/1727/6.pdf	TASK::Тематическое_моделирование(0.714672327041626)|TASK::Обработка_речи(0.7135488986968994)|TASK::Дистрибутивная_семантика(0.7093372344970703)|TASK::Извлечение_именованных_сущностей(0.7062627077102661)|TASK::Языковые_модели(0.7025171518325806)
9	dialogue_2012_0a4a35926181aa07fa67b1b5e770313da0093031	ru	0.9806564450263977	О Структуре Тезауруса Пословиц	http://www.dialog-21.ru/media/1348/115.pdf	TASK::Тематическое_моделирование(0.7178930044174194)|TASK::Извлечение_именованных_сущностей(0.7141013145446777)|TASK::Дистрибутивная_семантика(0.7035641670227051)
10	dialogue_2014_0dcf3e0729a792f4b40d2a00929ab6ce287c9e01	ru	0.9801977872848511	Прагматика Зачёркивания: Нормы Коммуникации и Теория Оптимальности	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PiperskiAChSominAA.pdf	TASK::Тематическое_моделирование(0.7110387682914734)

4.		dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe	ru	Реализация Первичного Семантического Анализа в Системе Диалинг	http://www.dialog-21.ru/digest/2000/articles/sokirko/	TASK::Дистрибутивная_семантика(0.7706037163734436)|TASK::Конечные_преобразователи(0.7571210861206055)|TASK::Извлечение_именованных_сущностей(0.7360561490058899)|TASK::Языковые_модели(0.720224142074585)|TASK::Обработка_речи(0.7132292985916138)|TASK::Тематическое_моделирование(0.7094928026199341)
1	dialogue_2009_2b6061044e38408be8eba04b9a25cfae7fedfecc	ru	0.983421266078949	Синтаксическая Несовместимость как Свойство Линейной Организации Русского Предложения	http://www.dialog-21.ru/media/1577/27.pdf	TASK::Конечные_преобразователи(0.7442293167114258)|TASK::Дистрибутивная_семантика(0.743212103843689)|TASK::Извлечение_именованных_сущностей(0.7236143350601196)|TASK::Обработка_речи(0.7114684581756592)|TASK::Языковые_модели(0.7065032124519348)|TASK::Тематическое_моделирование(0.7012184262275696)
2	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9833751916885376	Объектная Модель Многофункциональных Словарей, Основанная на Синтезе Лингвистических Единиц	http://www.dialog-21.ru/media/2636/ivlicheva.pdf	TASK::Извлечение_именованных_сущностей(0.7554365396499634)|TASK::Конечные_преобразователи(0.744012713432312)|TASK::Дистрибутивная_семантика(0.7432229518890381)|TASK::Тематическое_моделирование(0.709507942199707)|TASK::Языковые_модели(0.7032158970832825)
3	dialogue_2013_0ac379abcec662bfcdace5103b100f419383220a	ru	0.9831474423408508	Визуализация Данных для Каталога Русских Лексических Конструкций (На Материале Нкря)	http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf	TASK::Дистрибутивная_семантика(0.7550382614135742)|TASK::Конечные_преобразователи(0.7417526245117188)|TASK::Обработка_речи(0.7295092344284058)|TASK::Языковые_модели(0.7237100005149841)|TASK::Извлечение_именованных_сущностей(0.7196618318557739)|TASK::Тематическое_моделирование(0.7178452014923096)|TASK::Извлечение_ключевых_слов(0.7028112411499023)
4	dialogue_2009_bdfb54393aff0476b947f95364ba61f6433a4a9c	ru	0.9827987551689148	Программа Семантической Классификации Лексики — Просека: Теоретические и Прикладные Аспекты	http://www.dialog-21.ru/media/1587/37.pdf	TASK::Дистрибутивная_семантика(0.7433902621269226)|TASK::Конечные_преобразователи(0.7365521788597107)|TASK::Обработка_речи(0.7302533388137817)|TASK::Извлечение_именованных_сущностей(0.7220602035522461)|TASK::Языковые_модели(0.7207238078117371)|TASK::Тематическое_моделирование(0.7147949934005737)
5	dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc	ru	0.9827022552490234	Смысловая Неполнота в Формуле Слабой Связи	http://www.dialog-21.ru/digest/2000/articles/leontyeva/	TASK::Дистрибутивная_семантика(0.7298917174339294)|TASK::Конечные_преобразователи(0.7275387048721313)|TASK::Извлечение_именованных_сущностей(0.7241893410682678)|TASK::Тематическое_моделирование(0.7225164175033569)|TASK::Обработка_речи(0.7035598754882812)|TASK::Языковые_модели(0.7019494771957397)
6	dialogue_2002_862ff86c97b14361d5129fcfd5c49e267f084a73	ru	0.982514500617981	О Проекте Лингвистического Процессора для Обработки Информации из Сети Интернет[1]	http://www.dialog-21.ru/digest/2002/articles/pertsova/	TASK::Конечные_преобразователи(0.7468169927597046)|TASK::Извлечение_именованных_сущностей(0.7431581020355225)|TASK::Дистрибутивная_семантика(0.7208220958709717)
7	dialogue_2007_693c62e52922ff213ab20196cc84789a7efb533f	ru	0.9820879101753235	К Проблеме Лемматизации Несловарных Словоформ	http://www.dialog-21.ru/media/1883/62.pdf	TASK::Дистрибутивная_семантика(0.7442834377288818)|TASK::Конечные_преобразователи(0.7377354502677917)|TASK::Обработка_речи(0.7334051132202148)|TASK::Языковые_модели(0.7240352630615234)|TASK::Извлечение_именованных_сущностей(0.7184841632843018)|TASK::Тематическое_моделирование(0.7021064758300781)
8	dialogue_2002_142141991ce299bf6f2a74e154d6c4aa63ab7412	ru	0.9820614457130432	Модели Лингвистического Транслятора	http://www.dialog-21.ru/digest/2002/articles/khahalin1/	TASK::Дистрибутивная_семантика(0.7651662826538086)|TASK::Конечные_преобразователи(0.7567073106765747)|TASK::Языковые_модели(0.746802806854248)|TASK::Тематическое_моделирование(0.7427036762237549)|TASK::Извлечение_именованных_сущностей(0.7304909229278564)|TASK::Обработка_речи(0.7119731903076172)
9	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9815019965171814	Слова-отношения и их Роль в Представлении Знаний	http://www.dialog-21.ru/digest/2001/articles/leontyeva/	TASK::Извлечение_именованных_сущностей(0.7299317121505737)|TASK::Дистрибутивная_семантика(0.7264776825904846)|TASK::Тематическое_моделирование(0.7171838283538818)|TASK::Обработка_речи(0.7160664796829224)|TASK::Конечные_преобразователи(0.7045550346374512)|TASK::Языковые_модели(0.7025884985923767)|TASK::Извлечение_отношений(0.7005168199539185)
10	dialogue_2004_db21f01ba76d742aae8e617373e4c1972f87a4b9	ru	0.9814813137054443	Опыт Построения Полной Морфемно-ориентированной Семантической Сети для Русского Языка	http://www.dialog-21.ru/media/2553/packin.pdf	TASK::Конечные_преобразователи(0.7351723909378052)|TASK::Извлечение_именованных_сущностей(0.7234933376312256)|TASK::Дистрибутивная_семантика(0.7223645448684692)|TASK::Тематическое_моделирование(0.716291069984436)|TASK::Языковые_модели(0.710513710975647)

5.		dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529	ru	Моделирование Синтаксических Перестановок	http://www.dialog-21.ru/digest/2000/articles/zimmerling/	TASK::Конечные_преобразователи(0.7309978008270264)|TASK::Дистрибутивная_семантика(0.7308796644210815)|TASK::Обработка_речи(0.7138701677322388)|TASK::Языковые_модели(0.7090387940406799)|TASK::Извлечение_именованных_сущностей(0.7076642513275146)
1	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9936215281486511	Локальные и Глобальные Правила в Синтаксисе	http://www.dialog-21.ru/media/1805/85.pdf	TASK::Конечные_преобразователи(0.7240490913391113)|TASK::Обработка_речи(0.719123125076294)|TASK::Дистрибутивная_семантика(0.7171094417572021)|TASK::Тематическое_моделирование(0.7104446887969971)|TASK::Извлечение_именованных_сущностей(0.7102856636047363)|TASK::Языковые_модели(0.7037292718887329)
2	dialogue_2007_0b09db4182e9aabfee9019a3b1c08e9aafdbbf15	ru	0.9935608506202698	Локативная Инверсия в Языках со Свободным Порядком Слов	http://www.dialog-21.ru/media/1903/82.pdf	TASK::Обработка_речи(0.7128323316574097)|TASK::Конечные_преобразователи(0.7120909690856934)|TASK::Дистрибутивная_семантика(0.7116477489471436)|TASK::Языковые_модели(0.7093304395675659)
3	dialogue_2006_952c75a21aaab9e275b2c623d2689ab65c756d47	ru	0.9914112091064453	Отношение Свободного Порядка Слов и Модели Инверсии	http://www.dialog-21.ru/media/2029/zimmerling.pdf	TASK::Дистрибутивная_семантика(0.7350692749023438)|TASK::Языковые_модели(0.7333313226699829)|TASK::Обработка_речи(0.7288704514503479)|TASK::Конечные_преобразователи(0.7242175936698914)|TASK::Извлечение_именованных_сущностей(0.7134423851966858)|TASK::Тематическое_моделирование(0.7044969797134399)
4	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9897116422653198	Синтаксические Нули в Теории Грамматики	http://www.dialog-21.ru/media/1631/81.pdf	TASK::Дистрибутивная_семантика(0.7223300933837891)|TASK::Обработка_речи(0.7154483795166016)|TASK::Конечные_преобразователи(0.7146219611167908)|TASK::Языковые_модели(0.7012072801589966)|TASK::Извлечение_именованных_сущностей(0.7009935975074768)
5	dialogue_2009_5fb8592bc84d61df4960dc7985a5eea61367b6c5	ru	0.9877814054489136	К Проблеме Вариативности Языка: Метод Многофакторного Исчисления Второго Порядка	http://www.dialog-21.ru/media/1575/25.pdf	TASK::Языковые_модели(0.728790283203125)|TASK::Конечные_преобразователи(0.727486252784729)|TASK::Дистрибутивная_семантика(0.7216883897781372)|TASK::Обработка_речи(0.717355489730835)|TASK::Извлечение_именованных_сущностей(0.7126543521881104)|TASK::Тематическое_моделирование(0.7066742777824402)
6	dialogue_2006_6a3298dde28bc05375e1170522f35d5c4fcc1be7	ru	0.9871593713760376	Использование Схемы Наследования Рамок Валентностей в Тезаурусе Russnet для Автоматического Анализа Текста	http://www.dialog-21.ru/media/1925/azarova2.pdf	TASK::Дистрибутивная_семантика(0.7337782382965088)|TASK::Конечные_преобразователи(0.728950023651123)|TASK::Извлечение_именованных_сущностей(0.7168943881988525)|TASK::Обработка_речи(0.7158830761909485)|TASK::Языковые_модели(0.7114192247390747)|TASK::Тематическое_моделирование(0.7109953165054321)
7	dialogue_2008_4b61639a03b977fa64b74c54d0e07e10e68cf67a	ru	0.9858300685882568	Синтаксический Анализатор Лингвистического Процессора Этап-3: Эксперименты по Ранжированию синтаксических Гипотез	http://www.dialog-21.ru/media/1742/21.pdf	TASK::Конечные_преобразователи(0.7265379428863525)|TASK::Дистрибутивная_семантика(0.7214256525039673)|TASK::Обработка_речи(0.7151216268539429)|TASK::Языковые_модели(0.7117431163787842)|TASK::Извлечение_именованных_сущностей(0.7087575197219849)|TASK::Тематическое_моделирование(0.7071375846862793)
8	dialogue_2015_cfc9663af0a93fd7226ca903ae6a665b6db9f86a	ru	0.9851675033569336	Гулял — Нагулял — Нагулялся. Заметки о Структуре Префиксально-постфиксальных Глаголов	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KisselevaXLTatevosovSG.pdf	TASK::Конечные_преобразователи(0.7319852709770203)|TASK::Дистрибутивная_семантика(0.7189675569534302)|TASK::Извлечение_именованных_сущностей(0.7156822681427002)|TASK::Тематическое_моделирование(0.7032325863838196)
9	dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc	ru	0.98490971326828	Смысловая Неполнота в Формуле Слабой Связи	http://www.dialog-21.ru/digest/2000/articles/leontyeva/	TASK::Дистрибутивная_семантика(0.7298917174339294)|TASK::Конечные_преобразователи(0.7275387048721313)|TASK::Извлечение_именованных_сущностей(0.7241893410682678)|TASK::Тематическое_моделирование(0.7225164175033569)|TASK::Обработка_речи(0.7035598754882812)|TASK::Языковые_модели(0.7019494771957397)
10	dialogue_2009_2b6061044e38408be8eba04b9a25cfae7fedfecc	ru	0.9847371578216553	Синтаксическая Несовместимость как Свойство Линейной Организации Русского Предложения	http://www.dialog-21.ru/media/1577/27.pdf	TASK::Конечные_преобразователи(0.7442293167114258)|TASK::Дистрибутивная_семантика(0.743212103843689)|TASK::Извлечение_именованных_сущностей(0.7236143350601196)|TASK::Обработка_речи(0.7114684581756592)|TASK::Языковые_модели(0.7065032124519348)|TASK::Тематическое_моделирование(0.7012184262275696)

6.		dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289	ru	Синтезатор Татарской Речи: Вопросы Транскрипции Заимствований и Планирования Языка	http://www.dialog-21.ru/digest/2002/articles/ibragimov/	TASK::Обработка_речи(0.7553805112838745)
1	dialogue_2002_abaf95b5c66e73d382e5597c91b8cf56110ece3f	ru	0.9059088230133057	Метафора Мертвая и Метафора Живая:экспериментальный Подход к Паремиологии Дунганского и Китайского Языков	http://www.dialog-21.ru/digest/2002/articles/zevakhina/	TASK::Языковые_модели(0.7200864553451538)|TASK::Обработка_речи(0.7159658074378967)|TASK::Тезаурусы(0.7128924131393433)|TASK::Тематическое_моделирование(0.7048754096031189)
