1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.7695256471633911)|TASK::Морфологический_анализ(0.7519286870956421)|TASK::Тематическое_моделирование(0.7376287579536438)|TASK::Синтаксический_анализ(0.7299620509147644)|TASK::Извлечение_именованных_сущностей(0.7231369614601135)|TASK::Cегментация_текста(0.7119397521018982)|TASK::Проверка_правописания(0.7049193978309631)

2.		dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	Основные Параметры Прикладного Направления «Педагогическая Лингвистика»	http://www.dialog-21.ru/digest/2000/articles/borisova/	TASK::Морфологический_анализ(0.7531227469444275)|TASK::Дистрибутивная_семантика(0.7410776615142822)|TASK::Извлечение_именованных_сущностей(0.7252524495124817)|TASK::Тематическое_моделирование(0.7155036926269531)|TASK::Проверка_правописания(0.7063427567481995)
1	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9884210824966431	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Морфологический_анализ(0.7434517741203308)|TASK::Дистрибутивная_семантика(0.7210577726364136)|TASK::Извлечение_именованных_сущностей(0.7095823287963867)|TASK::Тематическое_моделирование(0.7061141729354858)
2	dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03	ru	0.9881970882415771	Теория, Описание, Приложение: Полемика и Диалог	http://www.dialog-21.ru/digest/2000/articles/loutikova/	TASK::Морфологический_анализ(0.7564592361450195)|TASK::Дистрибутивная_семантика(0.7501444220542908)|TASK::Извлечение_именованных_сущностей(0.707103431224823)|TASK::Тематическое_моделирование(0.705174446105957)|TASK::Проверка_правописания(0.704849123954773)
3	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9847924709320068	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Дистрибутивная_семантика(0.758571982383728)|TASK::Морфологический_анализ(0.7514511942863464)|TASK::Извлечение_именованных_сущностей(0.7365123629570007)|TASK::Тематическое_моделирование(0.7116632461547852)|TASK::Анализ_тональности(0.7059167623519897)|TASK::Проверка_правописания(0.7002205848693848)
4	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.984718918800354	К Проблеме Построения Семантического Метаязыка	http://www.dialog-21.ru/media/1994/percov.pdf	TASK::Дистрибутивная_семантика(0.7530169486999512)|TASK::Морфологический_анализ(0.7486172318458557)|TASK::Извлечение_именованных_сущностей(0.71955406665802)|TASK::Тематическое_моделирование(0.7125356197357178)|TASK::Синтаксический_анализ(0.7108891010284424)|TASK::Проверка_правописания(0.709555983543396)
5	dialogue_2002_091540154163c30168b3b3787c2cfd91786a965f	ru	0.9846352934837341	Функциональная Семантика в Компьютерных Решениях	http://www.dialog-21.ru/digest/2002/articles/kozerenko/	TASK::Дистрибутивная_семантика(0.7818124890327454)|TASK::Морфологический_анализ(0.7793630361557007)|TASK::Извлечение_именованных_сущностей(0.7334069013595581)|TASK::Синтаксический_анализ(0.73030686378479)|TASK::Тематическое_моделирование(0.7285163402557373)|TASK::Языковые_модели(0.7073984146118164)|TASK::Проверка_правописания(0.7021607756614685)
6	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9844709634780884	Принципы Синтаксической Разметки Хельсинкского Аннотированного Корпуса Русских Текстов Ханко	http://www.dialog-21.ru/media/1964/kopotev.pdf	TASK::Морфологический_анализ(0.7365830540657043)|TASK::Дистрибутивная_семантика(0.7283840179443359)|TASK::Проверка_правописания(0.7130003571510315)|TASK::Извлечение_именованных_сущностей(0.703085720539093)
7	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.9844350814819336	Понимание Естественного Текста в Свете Теории Информации	http://www.dialog-21.ru/media/2612/borisova.pdf	TASK::Морфологический_анализ(0.7453662157058716)|TASK::Извлечение_именованных_сущностей(0.7346982359886169)|TASK::Дистрибутивная_семантика(0.7255265712738037)|TASK::Тематическое_моделирование(0.7184164524078369)
8	dialogue_2003_69321ba7a0eaf7a302ca7e0a315d0df584af685d	ru	0.9842674732208252	Моделирование Языковых Структур со Значением Условия и Причины для Англо-русского Лингвистического Процессора	http://www.dialog-21.ru/media/2649/kozerenko.pdf	TASK::Дистрибутивная_семантика(0.7537350654602051)|TASK::Морфологический_анализ(0.7522620558738708)|TASK::Извлечение_именованных_сущностей(0.7227710485458374)|TASK::Проверка_правописания(0.7036486268043518)|TASK::Тематическое_моделирование(0.7022310495376587)
9	dialogue_2007_fc934d6ab2dd0bf7be4907aed147d3554675ee6a	ru	0.9836587905883789	Если Семантический Класс Широк для Слова (К Представлению Лексики в Машинном Словаре)	http://www.dialog-21.ru/media/1897/76.pdf	TASK::Морфологический_анализ(0.7597262859344482)|TASK::Дистрибутивная_семантика(0.753696084022522)|TASK::Извлечение_именованных_сущностей(0.7265063524246216)|TASK::Тематическое_моделирование(0.7232487201690674)
10	dialogue_2001_6ec50ef8ede1cd5c279f2b1297f8431343df74c2	ru	0.9835188984870911	Возможный Подход к Универсализации Модели “Смысл <-> Текст”	http://www.dialog-21.ru/digest/2001/articles/solovyev/	TASK::Морфологический_анализ(0.7701473236083984)|TASK::Дистрибутивная_семантика(0.7693521976470947)|TASK::Синтаксический_анализ(0.7315259575843811)|TASK::Тематическое_моделирование(0.7263216376304626)|TASK::Извлечение_именованных_сущностей(0.723379373550415)|TASK::Проверка_правописания(0.7157496213912964)

3.		dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e	ru	Ментальная Лексика, Когнитивная Лингвистика и Антропоцентричность Языка*	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/	TASK::Морфологический_анализ(0.7359138131141663)|TASK::Дистрибутивная_семантика(0.7265099287033081)|TASK::Извлечение_именованных_сущностей(0.7223160862922668)
1	dialogue_2002_c3936ad5677e01d1d42185af3bdf802bcce54fa9	ru	0.9924404621124268	Дискурсивное Vs. Недискурсивное Знание: Проблемы Описания	http://www.dialog-21.ru/digest/2002/articles/ryabtseva/	TASK::Извлечение_именованных_сущностей(0.7251927852630615)|TASK::Дистрибутивная_семантика(0.7167963981628418)|TASK::Морфологический_анализ(0.7099416255950928)
2	dialogue_2002_c4c0f63feb5ca3438ecd8cbc84280e5d5eb733db	ru	0.9892764687538147	Метафорическая Концептуализация Сознания в Русском и Английском Языках	http://www.dialog-21.ru/digest/2002/articles/novoselova/	TASK::Извлечение_именованных_сущностей(0.7292803525924683)|TASK::Морфологический_анализ(0.7221606373786926)|TASK::Дистрибутивная_семантика(0.7217535972595215)
3	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9873650074005127	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Дистрибутивная_семантика(0.758571982383728)|TASK::Морфологический_анализ(0.7514511942863464)|TASK::Извлечение_именованных_сущностей(0.7365123629570007)|TASK::Тематическое_моделирование(0.7116632461547852)|TASK::Анализ_тональности(0.7059167623519897)|TASK::Проверка_правописания(0.7002205848693848)
4	dialogue_2001_4d688c18a8921a58cdcc5cf5e470cfac21662c43	ru	0.9866228699684143	О Семиотической Конгруэнтности в Речевой Коммуникации (К Постановке Проблемы)	http://www.dialog-21.ru/digest/2001/articles/zaretskaya/	TASK::Извлечение_именованных_сущностей(0.7113752961158752)
5	dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736	ru	0.9850730895996094	Категория Понимания, или Позиция Слушающего в Речевой Коммуникации	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/	TASK::Извлечение_именованных_сущностей(0.7116810083389282)
6	dialogue_2001_1e8ea9cca9a7b84341d7c27f80ff5ef7ac8a9985	ru	0.9845334887504578	Метафорические Модели Удивления (На Материале Русских Идиом)	http://www.dialog-21.ru/digest/2001/articles/kozerenko/	TASK::Морфологический_анализ(0.7122883796691895)|TASK::Дистрибутивная_семантика(0.7079803943634033)|TASK::Извлечение_именованных_сущностей(0.7050569653511047)
7	dialogue_2007_a063b56695ef07548600f85f7c02e8fc07aea472	ru	0.9841893911361694	Социокультурная Мотивированность Нарративов	http://www.dialog-21.ru/media/1827/06.pdf	TASK::Морфологический_анализ(0.739172101020813)|TASK::Дистрибутивная_семантика(0.7275317907333374)|TASK::Извлечение_именованных_сущностей(0.7152777314186096)
8	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9835514426231384	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Морфологический_анализ(0.7434517741203308)|TASK::Дистрибутивная_семантика(0.7210577726364136)|TASK::Извлечение_именованных_сущностей(0.7095823287963867)|TASK::Тематическое_моделирование(0.7061141729354858)
9	dialogue_2003_394ca3cf84359ee25c841273538e65e630c00d79	ru	0.9834175705909729	Коммуникативные Неудачи в Зеркале Детской Речи (Ранние Этапы)	http://www.dialog-21.ru/media/2640/kazakovskaja.pdf	TASK::Морфологический_анализ(0.7295764684677124)|TASK::Дистрибутивная_семантика(0.7173062562942505)
10	dialogue_2008_5b4f4b125f6424776fe0bfbee0fc5620657e4a24	ru	0.9828940629959106	Эволюция Форм Речевого Аргументативного Поведения как один из Аспектов Становления Коммуникативной Компетенции Языковой Личности	http://www.dialog-21.ru/media/1754/33.pdf	TASK::Извлечение_именованных_сущностей(0.7278997898101807)|TASK::Морфологический_анализ(0.7223666310310364)|TASK::Дистрибутивная_семантика(0.7164555191993713)

4.		dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe	ru	Реализация Первичного Семантического Анализа в Системе Диалинг	http://www.dialog-21.ru/digest/2000/articles/sokirko/	TASK::Дистрибутивная_семантика(0.7728270888328552)|TASK::Морфологический_анализ(0.7614898681640625)|TASK::Синтаксический_анализ(0.7300193309783936)|TASK::Извлечение_именованных_сущностей(0.7125225067138672)|TASK::Тематическое_моделирование(0.7123112082481384)|TASK::Проверка_правописания(0.7057348489761353)|TASK::Конечные_преобразователи(0.7008017897605896)
1	dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc	ru	0.9848931431770325	Смысловая Неполнота в Формуле Слабой Связи	http://www.dialog-21.ru/digest/2000/articles/leontyeva/	TASK::Дистрибутивная_семантика(0.7486661672592163)|TASK::Морфологический_анализ(0.735744833946228)|TASK::Извлечение_именованных_сущностей(0.7177533507347107)|TASK::Проверка_правописания(0.7130987644195557)|TASK::Синтаксический_анализ(0.7027295827865601)|TASK::Тематическое_моделирование(0.7009861469268799)
2	dialogue_2009_bdfb54393aff0476b947f95364ba61f6433a4a9c	ru	0.9835230112075806	Программа Семантической Классификации Лексики — Просека: Теоретические и Прикладные Аспекты	http://www.dialog-21.ru/media/1587/37.pdf	TASK::Морфологический_анализ(0.7659027576446533)|TASK::Дистрибутивная_семантика(0.757889986038208)|TASK::Проверка_правописания(0.7302796840667725)|TASK::Синтаксический_анализ(0.7181512117385864)|TASK::Извлечение_именованных_сущностей(0.7142505049705505)|TASK::Тематическое_моделирование(0.7063127756118774)
3	dialogue_2007_ac67049ce60d0894d58ca973892318300b8d3374	ru	0.9832687377929688	От Синтаксиса к Семантике – о Выборе Формализмов и Лингвистических Ресурсов	http://www.dialog-21.ru/media/1865/44.pdf	TASK::Дистрибутивная_семантика(0.7802477478981018)|TASK::Морфологический_анализ(0.7663094997406006)|TASK::Синтаксический_анализ(0.753389835357666)|TASK::Тематическое_моделирование(0.735988974571228)|TASK::Проверка_правописания(0.7212303280830383)|TASK::Извлечение_именованных_сущностей(0.711492657661438)|TASK::Языковые_модели(0.7082725167274475)
4	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9830969572067261	Слова-отношения и их Роль в Представлении Знаний	http://www.dialog-21.ru/digest/2001/articles/leontyeva/	TASK::Морфологический_анализ(0.746793270111084)|TASK::Дистрибутивная_семантика(0.7408734560012817)|TASK::Извлечение_именованных_сущностей(0.7246484756469727)|TASK::Проверка_правописания(0.7089101076126099)
5	dialogue_2004_db21f01ba76d742aae8e617373e4c1972f87a4b9	ru	0.9829680323600769	Опыт Построения Полной Морфемно-ориентированной Семантической Сети для Русского Языка	http://www.dialog-21.ru/media/2553/packin.pdf	TASK::Морфологический_анализ(0.7402250170707703)|TASK::Дистрибутивная_семантика(0.7396442890167236)|TASK::Извлечение_именованных_сущностей(0.7172801494598389)|TASK::Проверка_правописания(0.7157814502716064)|TASK::Тематическое_моделирование(0.7017487287521362)|TASK::Синтаксический_анализ(0.7002957463264465)
6	dialogue_2010_b7faa43bf943f5668f42fa9a65cbdda40f592f4d	ru	0.9828517436981201	Особенности Лексико-морфологического Анализа при Извлечении Информационных Объектов и Связей из Текстов Естественного Языка	http://www.dialog-21.ru/media/1665/40.pdf	TASK::Морфологический_анализ(0.750027060508728)|TASK::Дистрибутивная_семантика(0.7343932390213013)|TASK::Проверка_правописания(0.7265986800193787)|TASK::Извлечение_именованных_сущностей(0.7260665893554688)|TASK::Тематическое_моделирование(0.7170819640159607)|TASK::Синтаксический_анализ(0.7072262167930603)
7	dialogue_2002_862ff86c97b14361d5129fcfd5c49e267f084a73	ru	0.9828148484230042	О Проекте Лингвистического Процессора для Обработки Информации из Сети Интернет[1]	http://www.dialog-21.ru/digest/2002/articles/pertsova/	TASK::Дистрибутивная_семантика(0.7363139390945435)|TASK::Морфологический_анализ(0.7338864207267761)|TASK::Извлечение_именованных_сущностей(0.7304713726043701)
8	dialogue_2003_f5590dc250914669358643c4fbe137c3d5402af7	ru	0.9823529720306396	Эксплицирование Элементов Смысла Текста Средствами Синтаксического Анализа-синтеза	http://www.dialog-21.ru/media/2621/ermakov.pdf	TASK::Дистрибутивная_семантика(0.7509764432907104)|TASK::Извлечение_именованных_сущностей(0.7335832118988037)|TASK::Морфологический_анализ(0.7278585433959961)|TASK::Синтаксический_анализ(0.700181782245636)
9	dialogue_2000_31da310fe1e01d085a9db18b6d2dccfc0b339611	ru	0.9823304414749146	Аннотированный Корпус Русских Текстов: Концепция, Инструменты Разметки, Типы Информации.	http://www.dialog-21.ru/digest/2000/articles/boguslavsky/	TASK::Морфологический_анализ(0.746322512626648)|TASK::Дистрибутивная_семантика(0.7378619909286499)|TASK::Проверка_правописания(0.7182238698005676)|TASK::Синтаксический_анализ(0.7174009084701538)|TASK::Извлечение_именованных_сущностей(0.7084237337112427)
10	dialogue_2002_1089cec78fadd854a5682a22c653e9312fa88c2c	ru	0.9815834760665894	Гиперсловари на Базе Системы “Абриаль”	http://www.dialog-21.ru/digest/2002/articles/packin/	TASK::Морфологический_анализ(0.7488822937011719)|TASK::Дистрибутивная_семантика(0.7300491333007812)|TASK::Проверка_правописания(0.7184785604476929)|TASK::Извлечение_именованных_сущностей(0.7128135561943054)|TASK::Тематическое_моделирование(0.7042683362960815)

5.		dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529	ru	Моделирование Синтаксических Перестановок	http://www.dialog-21.ru/digest/2000/articles/zimmerling/	TASK::Морфологический_анализ(0.7439252138137817)|TASK::Дистрибутивная_семантика(0.7420016527175903)|TASK::Проверка_правописания(0.7111803293228149)|TASK::Извлечение_именованных_сущностей(0.7046571969985962)
1	dialogue_2007_0b09db4182e9aabfee9019a3b1c08e9aafdbbf15	ru	0.9947575330734253	Локативная Инверсия в Языках со Свободным Порядком Слов	http://www.dialog-21.ru/media/1903/82.pdf	TASK::Морфологический_анализ(0.7396856546401978)|TASK::Дистрибутивная_семантика(0.7365241050720215)|TASK::Проверка_правописания(0.7138151526451111)
2	dialogue_2006_952c75a21aaab9e275b2c623d2689ab65c756d47	ru	0.9927712678909302	Отношение Свободного Порядка Слов и Модели Инверсии	http://www.dialog-21.ru/media/2029/zimmerling.pdf	TASK::Дистрибутивная_семантика(0.7464998364448547)|TASK::Морфологический_анализ(0.7435839176177979)|TASK::Проверка_правописания(0.7187410593032837)|TASK::Синтаксический_анализ(0.7147890329360962)|TASK::Извлечение_именованных_сущностей(0.7102125883102417)
3	dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26	ru	0.9922776222229004	Локальные и Глобальные Правила в Синтаксисе	http://www.dialog-21.ru/media/1805/85.pdf	TASK::Морфологический_анализ(0.7503993511199951)|TASK::Дистрибутивная_семантика(0.7451664209365845)|TASK::Проверка_правописания(0.7138150930404663)|TASK::Извлечение_именованных_сущностей(0.7088890075683594)
4	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.9883631467819214	Синтаксические Нули в Теории Грамматики	http://www.dialog-21.ru/media/1631/81.pdf	TASK::Дистрибутивная_семантика(0.747745931148529)|TASK::Морфологический_анализ(0.7419135570526123)|TASK::Проверка_правописания(0.7296433448791504)|TASK::Синтаксический_анализ(0.7012456655502319)
5	dialogue_2003_69321ba7a0eaf7a302ca7e0a315d0df584af685d	ru	0.9876708984375	Моделирование Языковых Структур со Значением Условия и Причины для Англо-русского Лингвистического Процессора	http://www.dialog-21.ru/media/2649/kozerenko.pdf	TASK::Дистрибутивная_семантика(0.7537350654602051)|TASK::Морфологический_анализ(0.7522620558738708)|TASK::Извлечение_именованных_сущностей(0.7227710485458374)|TASK::Проверка_правописания(0.7036486268043518)|TASK::Тематическое_моделирование(0.7022310495376587)
6	dialogue_2000_cdc377ca6b4a26679176680a98cccd4fbcfd8248	ru	0.9869785308837891	Имликативные Универсалии и Великие Основополагающие Планы Построения Языка	http://www.dialog-21.ru/digest/2000/articles/filimonova/	TASK::Морфологический_анализ(0.7596851587295532)|TASK::Дистрибутивная_семантика(0.7403628826141357)|TASK::Проверка_правописания(0.7093774080276489)|TASK::Извлечение_именованных_сущностей(0.7029130458831787)
7	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9860365390777588	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Морфологический_анализ(0.7324643135070801)|TASK::Проверка_правописания(0.7207087278366089)|TASK::Дистрибутивная_семантика(0.7190333008766174)|TASK::Извлечение_именованных_сущностей(0.7014129757881165)
8	dialogue_2015_cfc9663af0a93fd7226ca903ae6a665b6db9f86a	ru	0.9860042929649353	Гулял — Нагулял — Нагулялся. Заметки о Структуре Префиксально-постфиксальных Глаголов	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KisselevaXLTatevosovSG.pdf	TASK::Морфологический_анализ(0.7508480548858643)|TASK::Дистрибутивная_семантика(0.7458460330963135)|TASK::Извлечение_именованных_сущностей(0.7243465185165405)|TASK::Проверка_правописания(0.7011629343032837)
9	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9856420755386353	Слова-отношения и их Роль в Представлении Знаний	http://www.dialog-21.ru/digest/2001/articles/leontyeva/	TASK::Морфологический_анализ(0.746793270111084)|TASK::Дистрибутивная_семантика(0.7408734560012817)|TASK::Извлечение_именованных_сущностей(0.7246484756469727)|TASK::Проверка_правописания(0.7089101076126099)
10	dialogue_2009_5fb8592bc84d61df4960dc7985a5eea61367b6c5	ru	0.9854334592819214	К Проблеме Вариативности Языка: Метод Многофакторного Исчисления Второго Порядка	http://www.dialog-21.ru/media/1575/25.pdf	TASK::Морфологический_анализ(0.7586773633956909)|TASK::Дистрибутивная_семантика(0.7526739835739136)|TASK::Проверка_правописания(0.7134776711463928)|TASK::Извлечение_именованных_сущностей(0.7059232592582703)|TASK::Синтаксический_анализ(0.7012670040130615)

6.		dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289	ru	Синтезатор Татарской Речи: Вопросы Транскрипции Заимствований и Планирования Языка	http://www.dialog-21.ru/digest/2002/articles/ibragimov/	TASK::Морфологический_анализ(0.7004876136779785)
1	dialogue_2002_abaf95b5c66e73d382e5597c91b8cf56110ece3f	ru	0.9080179929733276	Метафора Мертвая и Метафора Живая:экспериментальный Подход к Паремиологии Дунганского и Китайского Языков	http://www.dialog-21.ru/digest/2002/articles/zevakhina/	TASK::Морфологический_анализ(0.7525494694709778)|TASK::Дистрибутивная_семантика(0.7247413396835327)|TASK::Тематическое_моделирование(0.7097246050834656)|TASK::Языковые_модели(0.7076358199119568)
2	dialogue_2002_d505931dff5eb2ccfa97d2734c7f0de448ea96c9	ru	0.9068261384963989	Русская Номинативная Лексика как Инструмент Изучения Зрительных Образов	http://www.dialog-21.ru/digest/2002/articles/semenova/	TASK::Морфологический_анализ(0.7516369819641113)|TASK::Дистрибутивная_семантика(0.7467012405395508)|TASK::Тематическое_моделирование(0.7295994758605957)|TASK::Языковые_модели(0.7294756174087524)|TASK::Синтаксический_анализ(0.7144956588745117)
3	dialogue_2002_7a08ec25ad268621c10533fe459b07eac81aa967	ru	0.9000812768936157	Неточная Редупликация как Средство Выражения Значения Репрезентативной Множественности	http://www.dialog-21.ru/digest/2002/articles/minlos/	TASK::Морфологический_анализ(0.7579620480537415)|TASK::Языковые_модели(0.7108556032180786)
4	dialogue_2001_a8835164281ef042f4b46763916b1c2d277eccc2	ru	0.8945436477661133	Деривация Литературных и Жаргонных Метафорических Значений в Русском Языке	http://www.dialog-21.ru/digest/2001/articles/rozina/	TASK::Морфологический_анализ(0.7645467519760132)|TASK::Дистрибутивная_семантика(0.737187922000885)|TASK::Синтаксический_анализ(0.7279355525970459)|TASK::Проверка_правописания(0.7223039865493774)|TASK::Тезаурусы(0.7081757187843323)|TASK::Тематическое_моделирование(0.7019692063331604)
